ID	Secret	Title	Type	BeiZhu	Source	Txt	RelationEvidence	RelationMotivation
	对应的类型	内容	动机0参与者1证据2	备注				
1	1	Thần Bí Thân Ảnh	0		Tê Hà Động Thiên Trường Lão · Cam Minh	Theo Tê Hà động thiên trưởng lão cam minh lời nói, [desc_daytime=-20], Bách Man Sơn đệ tử làm việc đột nhiên điệu thấp, nghe nói đang mưu đồ từ cái nào đó môn phái trong tay cướp đoạt bảo vật gì. Mà đoạn thời gian kia chính là Thái Nhất Môn diệt môn trước sau, nếu như việc này là thật, cái này cũng có thể chính là Bách Man Sơn tham dự việc này động cơ.	5	
2	1	Thần Bí Thân Ảnh	1		Tê Hà Động Thiên Trường Lão · Nguyệt Thanh Sầu	Theo Tê Hà động thiên trăng thanh sầu trưởng lão nói, [desc_daytime=-20] Đi hải ngoại làm việc, gặp trăng tròn núi ánh lửa ngút trời, liền tới xem xét, lại phát hiện phương viên trăm dặm đã bị bày ra tuyệt rồng trận, không được đến gần, chỉ là xa xa nhìn thấy trong trận có đầy trời kim quang. Chính là Bách Man Sơn độc hữu bách độc Kim Thiền chi thuật. Như có chứng cứ chứng minh lời nói không phải hư, kia diệt môn sự tình nên có Bách Man Sơn tham dự không thể nghi ngờ.	3|4	1
3	1	Thần Bí Thân Ảnh	2		Tê Hà Động Thiên Đệ Tử · Lâm Tư Nguyên	Theo Tê Hà động thiên đệ tử Lâm Tư nguyên nói, [desc_daytime=-20], hắn tại hải ngoại tìm được một thượng cổ Tiên Phủ, đáng tiếc trong đó cấm chế phi thường cường đại, nếu không phải trăng thanh sầu trưởng lão đến đây tiếp dẫn, kém chút mất mạng. Mà đoạn thời gian kia, vừa lúc là Thái Nhất Môn diệt môn trước sau, theo như cái này thì, trăng thanh sầu trưởng lão thật là ngẫu nhiên đi ngang qua thấy, cũng không phải là hung đồ.		
4	1	Thần Bí Thân Ảnh	2		Tê Hà Động Thiên Trường Lão · Ninh Tiêu	Theo Tê Hà động thiên thà tiêu trưởng lão nói, trăng thanh sầu trưởng lão cùng Bách Man Sơn có túc thù, trăm năm qua cùng Bách Man Sơn đấu không biết bao nhiêu lần, lẫn nhau không thể làm sao. Này đối với Bách Man Sơn pháp môn hết sức quen thuộc. Theo như cái này thì, trăng thanh sầu trưởng lão hẳn là sẽ không nhận lầm, Bách Man Sơn đệ tử thật là tham dự diệt môn.		
5	1	Thần Bí Thân Ảnh	2		Bách Man Sơn Đệ Tử · Ba Hàn	Theo Bách Man Sơn đệ tử ba lạnh lời nói, [desc_daytime=-20], trong môn trưởng lão không biết vì sao sự tình tập thể ra ngoài, trở về lúc trực tiếp đi hướng Tàng Bảo Các, tựa hồ có cái gì trọng đại thu hoạch. Theo như cái này thì, Bách Man Sơn vì nào đó bảo vật xuất động trong phái tinh nhuệ tiêu diệt Thái Nhất Môn tựa hồ là có thể tin.		
6	2	Diệt Môn Chi Mê	0	Bách Man	Bách Man Sơn Đại Năng · Tất Điêu Chuyết	Theo Bách Man Sơn đại năng sơn khắc vụng lời nói, [desc_daytime=-20], Bách Man Sơn đoạt được một cái tên là càn khôn giới thượng cổ chí bảo. Bách Man đệ tử như lấy bảo vật này nhưng mở một phương tùy thân tiểu thế giới, vừa lúc thích hợp nuôi dưỡng bách độc Kim Thiền, tà cổ phản hồi tự thân, tu vi có thể tăng lên mấy lần.		
7	2	Diệt Môn Chi Mê	0	Thất Sát	Thất Sát Ma Cung Đại Năng · Xích Đan Thu	Theo Thất Sát Ma Cung đại năng đỏ đan thu lời nói, nàng vậy mà rất đắc ý nhấc lên [desc_daytime=-20] Từng thiết kế tru diệt một môn phái, ngôn từ bên trong thậm chí mang theo một loại nào đó khắc sâu cừu hận, đối môn phái kia diệt môn mười phần khoái ý. Mà đoạn thời gian kia chính là Thái Nhất Môn diệt môn trước sau, cái này nên nói là một loại nào đó trùng hợp a?		
8	2	Diệt Môn Chi Mê	0	Hợp Hoan	Hợp Hoan Phái Đại Năng · Thanh Vũ Lan	Tại cùng Hợp Hoan phái đại năng thanh vũ lan trò chuyện lên [desc_daytime=-20] Đông Nam tu hành giới có một môn phái diệt môn sự tình, người này vậy mà biểu đạt ra đối với chuyện này mười phần hiểu rõ dáng vẻ, ngôn từ bên trong thậm chí biểu đạt ra mười phần khoái ý cảm giác, tựa hồ đối với có một loại nào đó khắc sâu cừu hận. Để cho người ta cảm thấy sự tình có phần không đơn giản.		
9	2	Diệt Môn Chi Mê	0	Thất Thiên	Thất Thiên Ổ Đại Năng · Chung Ly Đức	Tại cùng bảy thiên ổ đại năng Chung Ly đức trò chuyện lên [desc_daytime=-20] Đông Nam tu hành giới có một môn phái diệt môn sự tình, người này lại có một nháy mắt lộ ra một loại nào đó khiếp đảm cùng cừu hận thần sắc, sau đó liền giả bộ không thèm để ý biểu đạt loại này không biết tự lượng sức mình tiểu phái nên nên bị diệt loại hình ngôn từ, mười phần khả nghi.		
10	2	Diệt Môn Chi Mê	0	Tử Tiêu	Tử Tiêu Tông Đại Năng · Thân Đồ Tức	Tại cùng Tử Tiêu tông đại năng Thân Đồ hơi thở trò chuyện lên [desc_daytime=-20] Đông Nam có một môn phái diệt môn sự tình, người này vậy mà giữ kín như bưng, thậm chí biểu đạt ra một loại nào đó âm thầm sợ hãi cùng kiêng kị, lộ ra rất không tầm thường.		
11	2	Diệt Môn Chi Mê	0	Chính Nhất	Huyền Nhất Đạo Đại Năng · Lý Tôn Bác	Tại cùng Huyền Nhất đạo đại năng Lý Tôn bác trò chuyện lên [desc_daytime=-20] Đông Nam có một môn phái diệt môn sự tình, hắn hơi sững sờ biểu thị cũng không cảm kích. Nhưng mà một trong nháy mắt bộc lộ, tựa hồ biểu đạt ra một loại nào đó âm thầm sợ hãi cùng kiêng kị, lộ ra rất không tầm thường.		
12	2	Diệt Môn Chi Mê	0	Côn Lôn	Côn Lôn Cung Đại Năng · Quý Kiếp	Tại cùng Côn Luân cung đại năng quý cướp trò chuyện lên [desc_daytime=-20] Đông Nam có một môn phái diệt môn sự tình, nàng không che giấu chút nào hàn huyên trò chuyện cái nhìn, nhưng là cũng chưa nói tỉ mỉ, chỉ là ngôn từ bên trong tựa hồ có thở dài một hơi cảm giác, thậm chí còn mơ hồ có một loại nào đó âm thầm sợ hãi cùng kiêng kị, lộ ra rất không tầm thường.		
13	2	Diệt Môn Chi Mê	0	Đan Hà	Đan Hà Động Thiên Đại Năng · Tô Băng Loan	Tại cùng đan hà tông đại năng tô băng loan trò chuyện lên [desc_daytime=-20] Đông Nam có một môn phái diệt môn sự tình, nàng không che giấu chút nào nói ra Thái Nhất Môn danh tự, cũng bởi vậy nghĩa rộng đối với tu hành giới bây giờ loạn tượng biểu lộ ra khá là lo lắng. Nhưng mà nàng ra vẻ người đứng xem ngôn từ bên trong, tựa hồ biểu đạt ra một loại nào đó lòng vẫn còn sợ hãi cảm giác, lộ ra rất không tầm thường.		
14	2	Diệt Môn Chi Mê	1	Bách Man		Bách Man Sơn không hề nghi ngờ là diệt môn chủ yếu người tham dự. Nhưng Thái Nhất Môn chỉ là Đông Nam tu hành giới một cái không có danh tiếng gì môn phái, trong phái có bảo vật gì dẫn tới Bách Man Sơn dạng này Ma Môn đại phái không tiếc tinh nhuệ ra hết, diệt môn mà đoạt đâu?		6
15	2	Diệt Môn Chi Mê	1	Thất Sát	Bách Man Sơn Đại Năng · Bạch Chỉ	Theo Bách Man Sơn đại năng bạch chỉ lời nói, [desc_daytime=-20], Thất Sát Ma Cung trưởng lão tới chơi, đám người đàm luận thượng cổ dị văn lúc, nên trưởng lão nâng lên một loại tên là càn khôn giới thượng cổ chí bảo diệu dụng. Chúng Bách Man Sơn trưởng lão nghe xong, liền biết vật này có thể để Bách Man Sơn bách độc Kim Thiền đại pháp sinh ra chất biến, quả thực ông trời tác hợp cho.	22	7
16	2	Diệt Môn Chi Mê	1	Hợp Hoan	Bách Man Sơn Đại Năng · Bạch Chỉ	Theo Bách Man Sơn đại năng bạch chỉ lời nói, [desc_daytime=-20], Hợp Hoan phái một thông hiểu cổ đại bí văn đại năng ân sen bái sơn, Bách Man Sơn chưởng giáo thử hỏi thăm liên quan tới thượng cổ chí bảo càn khôn giới sự tình, không nghĩ tới vậy mà thật từ trong miệng dò thăm vật này tựa hồ cùng Đông Nam tu hành giới một cái tên là Thái Nhất Môn môn phái có nguồn gốc.	23	8
17	2	Diệt Môn Chi Mê	1	Thất Thiên	Bách Man Sơn Đại Năng · Bạch Chỉ	Theo Bách Man Sơn đại năng bạch chỉ lời nói, [desc_daytime=-20], tại một lần cùng bảy thiên ổ đại năng kết bạn cùng dạo lúc, vừa lúc tiếp vào bảy thiên ổ tại chính đạo lưu lại ám tử truyền lại về mật tín. Bảy thiên ổ trưởng lão cũng không trở về tránh nàng, ở trước mặt mở ra mật tín, trong đó vừa vặn bao hàm một đầu Thái Nhất Môn chưởng giáo đột phá Kim Đan, toàn phái đệ tử đều về núi ăn mừng tin tức.	24	9
18	2	Diệt Môn Chi Mê	1	Tử Tiêu	Bách Man Sơn Đại Năng · Bạch Chỉ	Theo Bách Man Sơn đại năng bạch chỉ lời nói, Bách Man Sơn bản lo lắng Thái Nhất Môn đã có này trọng bảo, có lẽ là có chút hậu trường lai lịch, nếu như không thể một mẻ hốt gọn, sợ có hậu hoạn. Vào thời khắc này, một đám người thần bí lại mang đến thượng cổ trận pháp tuyệt rồng trận trận đồ, biểu thị cùng Thái Nhất Môn có thù nguyện ý tham dự lần này vây quét. Mà những thần bí nhân này trên thân chân khí thuần khiết hùng hậu, tử khí ẩn ẩn, vậy mà tựa như đến từ chính đạo môn phái Tử Tiêu tông.	25	10
