Key	Value
    （探索铜陵山，寻找七师兄踪迹，请前往[color=#D06508]天下[/color]面板，通过派遣弟子驻扎铜陵山。可以随时派遣驻扎的弟子进入铜陵山内探索。）	    (Khám phá núi Đồng Lăng, tìm kiếm tung tích Thất Sư Huynh, xin đến bảng [color=#D06508]Thiên Hạ[/color], thông qua việc phái đệ tử đóng quân ở núi Đồng Lăng. Có thể phái đệ tử đóng quân vào núi Đồng Lăng khám phá bất kỳ lúc nào.)
就在此刻，一道强烈的气息从天边出现，竟然好似直奔太一门遗迹而来。[NAME]连忙离开遗迹，暗中潜伏起来，看看前来的到底是什么人。	Ngay lúc này, một luồng khí tức mạnh mẽ xuất hiện từ chân trời, dường như lao thẳng về di tích Thái Nhất Môn. [NAME] vội vàng rời đi, âm thầm ẩn nấp để xem rốt cuộc là ai tới.
[NAME]小心翼翼的搜索了太一遗迹，在路过门前广场的[color=#0F0F0F]灵石塔[/color]时，[NAME]在塔下静静的祭奠师门，却突然感受到塔下似乎有什么东西在和自己身上的太一之法应和，这一丝呼应非常微弱，几乎难以察觉。[NAME]运转太一门所传秘法，竟然发现塔底有一个奇特的法力构成的空穴，其中还藏着一个古怪的东西。随着东西的取出，这个空穴也消失不见了。	[NAME] cẩn thận tìm kiếm di tích Thái Nhất, khi đi ngang qua [color=#0F0F0F]Linh thạch tháp[/color] ở quảng trường trước cổng, [NAME] lặng lẽ tế bái sư môn dưới chân tháp, nhưng đột nhiên cảm nhận được có thứ gì đó dưới tháp đang cộng hưởng với Thái Nhất chi pháp trên người mình. Sự cộng hưởng này rất yếu, gần như không thể nhận ra. [NAME] vận hành Bí Pháp truyền từ Thái Nhất Môn, phát hiện dưới đáy tháp có một lỗ hổng pháp lực kỳ lạ, bên trong còn giấu một đồ vật cổ quái. Khi đồ vật này được lấy ra, lỗ hổng cũng biến mất.
分享码错误或者召唤失败，请重新再试	Chia sẻ mã sai lầm hoặc là triệu hoán thất bại, mời một lần nữa thử lại
请输入分享码	Xin điền vào chia sẻ mã
拍卖功能还未激活	Đấu giá công năng còn chưa kích hoạt
这一次拍卖还没开启	Lần này đấu giá còn không có mở ra
还有赎金没交,拍卖行拒绝了你	Còn có tiền chuộc không có giao, phòng đấu giá cự tuyệt ngươi
[NAME]什么都不想做，还是离开这里吧。	[NAME] Cái gì đều không muốn làm, vẫn là rời đi nơi này đi.
他们被吓跑了，奇观建设继续进行。	Bọn hắn bị hù chạy, kỳ quan kiến thiết tiếp tục tiến hành.
辩论旷日持久，最终也没有个结果，奇观建设被耽误了。	Biện luận lề mề, cuối cùng cũng không có kết quả, kỳ quan kiến thiết bị làm trễ nải.
他们骂了几句就走了，奇观建设继续进行。	Bọn hắn mắng vài câu liền đi, kỳ quan kiến thiết tiếp tục tiến hành.
来的人越来越多，很多人甚至还对建筑设计评头论足，奇观建设被耽误了。	Người tới càng ngày càng nhiều, rất nhiều người thậm chí còn đối kiến trúc thiết kế xoi mói, kỳ quan kiến thiết bị làm trễ nải.
他们居然还责备我们不领情，奇观建设继续进行。估计他们明天也不会来了。	Bọn hắn thế mà còn trách cứ chúng ta không lĩnh tình, kỳ quan kiến thiết tiếp tục tiến hành. Đoán chừng bọn hắn ngày mai cũng sẽ không tới.
他们说了好半天话，最终给了我们一朵纸做的红花，奇观建设被耽误了。	Bọn hắn nói hơn nửa ngày lời nói, cuối cùng cho chúng ta một đóa giấy làm hoa hồng, kỳ quan kiến thiết bị làm trễ nải.
{0}大显神通，召唤了大雨，灾难缓解了不少。	{0} Trổ hết tài năng, triệu hoán mưa to, tai nạn hóa giải không ít.
我方赈灾进度增加了{0}。	Bên ta chẩn tai tiến độ tăng lên {0}.
{0}大显神通，又减少了食物的产量，灾难加剧了。	{0} Trổ hết tài năng, lại giảm bớt đồ ăn sản lượng, tai nạn liên hồi.
赈灾需求提高了{0}。	Chẩn tai nhu cầu đề cao {0}.
{1}发动神力，直达灾民心怀。我方赈灾进度增加了{0}。	{1} Phát động thần lực, thẳng tới nạn dân lòng mang. Bên ta chẩn tai tiến độ tăng lên {0}.
{0}大显神通，用土封住了洪水，灾难缓解了不少。	{0} Trổ hết tài năng, dùng thổ phong bế hồng thủy, tai nạn hóa giải không ít.
{0}大显神通，又招来一些洪水，灾难加剧了。	{0} Trổ hết tài năng, lại đưa tới một chút hồng thủy, tai nạn liên hồi.
{0}大显神通，加热了此地的空气，灾难缓解了不少。	{0} Trổ hết tài năng, làm nóng nơi đây không khí, tai nạn hóa giải không ít.
{0}大显神通，又降低了温度，灾难加剧了。	{0} Trổ hết tài năng, lại thấp xuống nhiệt độ, tai nạn liên hồi.
{0}大显神通，直接修复了一些人家的房屋，灾难缓解了不少。	{0} Trổ hết tài năng, trực tiếp chữa trị một số người nhà phòng ốc, tai nạn hóa giải không ít.
{0}大显神通，又发动了一次小地震，灾难加剧了。	{0} Trổ hết tài năng, lại phát động một lần nhỏ địa chấn, tai nạn liên hồi.
{0}只是将部分食物分给灾民。	{0} Chỉ là đem bộ phận đồ ăn phân cho nạn dân.
{0}想要安抚难民，但危机情况下嘴皮子还是不够实在。	{0} Muốn trấn an nạn dân, nhưng dưới tình huống nguy hiểm mồm mép còn chưa đủ thực sự.
{0}抓了一些难民，把食物强行给他们，只有少数人拿了食物。	{0} Bắt một chút nạn dân, đem đồ ăn cưỡng ép cho bọn hắn, chỉ có số ít người cầm đồ ăn.
