ID	MapStoryID	DisplayName	Desc	Hide
1	Secrets_Baozang_EX1	Trùng Cốc Bí Văn	Phá giải trùng cốc bí văn bí mật	
2	Secrets_Baozang_EX2	Độc Long Bí Bảo	Phá giải Độc Long bí bảo bí mật	
3	Secrets_Baozang_EX3	Y Tiên Nội Phủ	Phá giải Y Tiên nội phủ bí mật	
4	Secrets_Baozang_EX4	Hỏa Huyệt Tham Bảo	Phá giải lửa huyệt tầm bảo bí mật	
5	Secrets_Baozang_EX5	Thiên Trì Tàng Bảo	Phá giải thiên trì bảo tàng bí mật	
6	Secrets_Baozang_EX6	Thiên Ma Di Hài	Phá giải thiên ma di hài bí mật	
7	Secrets_KunLunFaHui	Côn Lôn Pháp Hội	Tham dự Côn Luân pháp hội	
8	Secrets_GuangShouMenTu	Tiên Duyên Đại Hội	Tham gia Tiên Duyên đại hội	
9	Secrets_XieDiLing	Tà Đế Lăng Khai Khải	Tham dự tà Đế Lăng mở ra sự kiện	
10	Secrets_DuGuiXingZong	Đổ Quỷ Diệp Huyền	Cùng ma bài bạc Diệp Huyền đánh cược	
11	Secrets_TianJi	Cổ Thiên Cực Phù	Phá giải cổ thiên cực phù bí mật	
12	BaoZang_QingLianShan	Thanh Liên Tiên Sơn	Phá giải Thanh Liên tiên sơn bí mật	
13	BaoZang_XuanKong	Lâm Lang Tiên Phủ	Phá giải ngọc đẹp Tiên Phủ bí mật	
14	BaoZang_ChiLianYuan	Quỳnh Lâu Tiên Phủ	Phá giải quỳnh lâu Tiên Phủ bí mật	
15	BaoZang_DengXian	Đông Hoa Di Bảo	Phá giải Đông Hoa di bảo bí mật	
16	LingWu_JiuHua1	Long Tiềm Phượng Tê	Phá giải rồng lặn Phượng Tê bí mật	
