ID	Flag	Desc	Txt	Pic	Link	Voice
ID	实装flag 无意义	介绍 无实际作用	内容	说明图片	链接到帮助系统的位置	语音
1	1	Lần thứ nhất chọn trúng nhân vật	Nhân vật bảng bên trên cho thấy nhân vật [color=#D06508] Độ đói [/color], [color=#D06508] Cảm xúc giá trị [/color] Chờ cơ bản trạng thái. Người chơi còn có thể thông qua nhân vật bảng bên trên [color=#D06508] Hỗ động nút bấm [/color], đối nên nhân vật tuyên bố trực tiếp mệnh lệnh.	ui\Help2\001	21	m1
2	1	Lần thứ nhất điểm kích phía dưới màn hình tài nguyên thu thập mệnh lệnh.	Người chơi có thể thông qua phía dưới màn hình tuyên bố tài nguyên thu thập mệnh lệnh: [color=#D06508] Đơn kích [/color] Có thể nhằm vào một cái mục tiêu tài nguyên phát ra mệnh lệnh. [color=#D06508] Lôi kéo [/color] Thì có thể đối phạm vi bên trong mục tiêu tài nguyên đại lượng phát ra mệnh lệnh.	ui\Help2\002	33	m2
3	1	Lần thứ nhất điểm kích phía dưới màn hình thăm dò.	Người chơi có thể thông qua thăm dò mệnh lệnh tiêu ký trong sương mù một cái địa điểm, phụ trách [color=#D06508] Đi săn [/color] Nhân vật liền sẽ nếm thử hướng mục tiêu điểm phương hướng thăm dò. Cần thiết phải chú ý, thăm dò sẽ gấp bội tiêu hao [color=#D06508] Tinh lực [/color], tinh lực chỉ có thể thông qua giấc ngủ khôi phục.	ui\Help2\003		m3
4	1	Lần thứ nhất chọn trúng thực vật / Vật phẩm / Khoáng vật chờ	Chọn trúng vật phẩm sau, có thể thông qua vật phẩm bảng phía trên hỗ động nút bấm đối vật phẩm đấy phát ra tương quan chỉ lệnh. Đương con chuột lơ lửng tại vật phẩm bên trên lúc, thì có thể xem xét vật phẩm tin tức cặn kẽ.	ui\Help2\004		m4
5	1	Lần thứ nhất mở ra nơi làm việc tấm	Có thể đang làm việc bảng bên trong an bài ngoại môn đệ tử nội dung công việc. Nơi làm việc tấm bên trong công việc ưu tiên cấp [color=#D06508] Từ trái hướng phải giảm xuống [/color], nhưng người chơi có thể thông qua [color=#D06508] Đặc biệt ưu tiên [/color] Đến điều chỉnh một vị nào đó nhân vật công việc ưu tiên cấp. Nội môn đệ tử hành vi không nhận nơi làm việc tấm ước thúc.	ui\Help2\005	31	m5
6	1	Lần thứ nhất mở cửa phái bảng	Nên có một vị nhân vật trúc cơ thành công, trở thành nội môn đệ tử sau, liền có thể tại môn phái bảng thành lập môn phái. Người chơi có thể tại môn phái bảng bên trong tiến hành môn phái quản lý, môn phái số liệu tìm đọc, môn phái tự động cơm nước thiết lập chờ thao tác.	ui\Help2\006	611	m6
7	1	Lần thứ nhất mở ra thiên hạ bảng	Xem như công thành lập môn phái sau, liền có thể tại giới này mặt điều động nội môn đệ tử đi ra ngoài lịch luyện. Nhân vật tại lịch luyện bên trong có thể tao ngộ đủ loại kỳ ngộ, tăng cường tự thân, xông ra danh hào, cũng thu hoạch trân quý tài nguyên.	ui\Help2\007	610	m7
8	1	Lần thứ nhất điểm kích kiến trúc nút bấm	Có thể tại kiến trúc bảng xem xét trước mắt nhưng xây kiến trúc, đồng phát bố kiến trúc mệnh lệnh. Theo trò chơi lịch trình thúc đẩy, biết giải khóa càng nhiều kiến trúc. Chú ý, bộ phận kiến trúc cần [color=#D06508] Công việc điểm [/color], bày ra kiến trúc lúc phải chú ý cho công việc điểm chừa lại không gian.	ui\Help2\008	41	m8
9	1	Lần thứ nhất kiến tạo Quan Tinh đài	Ngươi đã kiến tạo Quan Tinh đài, hiện tại có thể thông qua góc trái trên cùng Thái Cực kiểm tra xem phong thủy. Phong thuỷ lấy gián tiếp phương thức ảnh hưởng trò chơi các mặt, là môn phái kiến thiết quan trọng nhất.	ui\Help2\009	51	m9
