ID	Name	Desc
ID	名字	描述
-1	Thần Bí Bối Cảnh	[NAME] Cố sự đã di thất, không có ai biết bất kỳ tin tức gì.( Mô tổ mất đi )
1	Tư Thục Học Tử	[NAME] Tuổi thơ nhận qua hết cả văn hóa giáo dục. Tư thục học tập kinh lịch để [IT] Hiểu rõ rất nhiều tri thức, cũng làm cho [IT] Tràn ngập hào hoa phong nhã thư quyển khí tức.
2	Hài Tử Vương	[NAME] Sinh ra ở một cái tiểu sơn thôn, từ nhỏ đã nghịch ngợm gây sự, lại giàu có lãnh đạo lực.[IT] Thường xuyên dẫn một đám hài tử lên núi xuống đất chơi đùa, cùng thôn bên cạnh hài tử đánh nhau.
3	Phụ Mẫu Song Vong	[NAME] Từ nhỏ mất đi phụ mẫu, lang thang mà sống. Gian khổ sinh hoạt cấp cho [IT] Vượt qua người đồng lứa thể phách cùng phản ứng.
4	Thất Ức Nhi Đồng	[NAME] Khi còn bé ký ức toàn bộ trống không, mỗi khi [IT] Nếm thử hồi ức, đều sẽ bị kịch liệt đau đầu đánh gãy. Vì thăm dò chân tướng, [NAME] Bỏ ra rất nhiều công phu nghiên cứu văn hiến truyền thuyết, mặc dù đến nay không có tìm được nguyên nhân, nhưng là những kiến thức này chí ít để [IT] Có được phong phú đề tài câu chuyện.
5	Đại Thiếu Gia	[NAME] Là nhà giàu sang trưởng tử, hưởng thụ lấy xa hoa tuổi thơ.[IT] Chưa từng làm việc nặng, tiếp thụ qua phi thường hoàn thiện mà toàn diện giáo dục.
6	Đại Tiểu Tả	[NAME] Là nhà giàu sang trưởng nữ, hưởng thụ lấy xa hoa tuổi thơ.[IT] Chưa từng làm việc nặng, tiếp thụ qua phi thường hoàn thiện mà toàn diện giáo dục.
7	Thư Hương Môn Đệ	[NAME] Sinh ra ở thư hương môn đệ, từ nhỏ tiếp nhận văn hóa hun đúc. Nhưng là lâu dài vũ văn lộng mặc cũng làm cho [NAME] Khuyết thiếu rèn luyện, thân thể tương đối gầy yếu.
8	Vũ Lâm Thế Gia	[NAME] Xuất thân võ thuật thế gia, từ nhỏ tiếp nhận nghiêm ngặt huấn luyện. Bên tai nhu mục nhiễm phía dưới, đối với chiến đấu lĩnh ngộ phi thường khắc sâu.
