talk	notarget	int	string	float	thing
NotEatShit	Ta mới sẽ không ăn phân và nước tiểu đâu				
NotEatEssence	Ta là sẽ không ăn thiên tài địa bảo, trừ phi đút ta				
NotEatDrug	Đánh chết ta cũng không đem đan dược làm đồ ăn vặt ăn, trừ phi đút cho ta				
NotEatWheat	Ta chỉ có đói dẹp bụng mới có thể ăn lúa mì				
NotEatDryMeat	Ta... Thật sẽ không ăn thịt khô				
NotEatPear	Quả lê là cái gì? Có thể ăn sao?				
NotEatMeat	Thịt tươi thật buồn nôn, ta không phải vạn bất đắc dĩ tuyệt đối không ăn				
NotEatCook	Thực phẩm chín là ta không muốn nhất ăn đồ ăn				
NotBiteBuilding	Ta không phải rất muốn công kích kiến trúc				
NotBiteClothes	Ta sẽ không đi đùa bỡn quần áo				
NotBiteOuter	Ta sẽ không công kích ngoại môn đệ tử				
NotBiteInner	Ta sẽ không công kích nội môn đệ tử				
NotBiteVisitor	Ta sẽ không công kích khách tới thăm				
NotBiteIncoming	Ta sẽ không công kích đến đây phàm nhân				
NotAtkEnemy	Ta sẽ không công kích địch nhân, trừ phi bị công kích				
NotShitAtShitPlace	Ta sẽ không ở bài tiết điểm bài tiết				
NotShitAtPlants	Ta sẽ không ở thực vật bên cạnh bài tiết				
NotShitAtDogHouse	Ta sẽ không ở ta tổ bên trong bài tiết				
NotShitAtStorage	Ta sẽ không ở nhà kho bài tiết				
NotShitOnBed	Ta sẽ không ở trên giường bài tiết				
NotShitInFarm	Ta sẽ không ở đồng ruộng bên trong bài tiết				
NotCarryOuterToBed	Ta sẽ không đem hôn mê đệ tử đem đến trên giường				
NotCarryVisitorToDest	Ta sẽ không đem hôn mê khách tới thăm đem đến vận chuyển điểm				
NotCarryEnemyToDest	Ta sẽ không đem hôn mê địch nhân đem đến vận chuyển điểm				
NotCarryIncomingToDest	Ta sẽ không đem hôn mê phàm nhân đem đến vận chuyển điểm				
NotCarryEnemyBodyToDest	Ta sẽ không đem thi thể của địch nhân đem đến vận chuyển điểm				
NotCarryVisitorBodyToDest	Ta sẽ không đem khách tới thăm thi thể đem đến vận chuyển điểm				
NotCarryIncomingBodyToDest	Ta sẽ không đem phàm nhân thi thể đem đến vận chuyển điểm				
NotHelpCarry	Ta sẽ không hỗ trợ chỉnh lý vật phẩm				
NotHelpTimber	Ta sẽ không hỗ trợ đốn cây				
NotHelpMine	Ta sẽ không hỗ trợ đào quáng				
NotHelpFind	Ta sẽ không hỗ trợ vơ vét vật phẩm				
NotHelpKill	Ta sẽ không hỗ trợ đồ tể động vật				
NotHelpPlant	Ta sẽ không hỗ trợ cho thực vật bón phân				
NotCureFreeze	Ta sẽ không hỗ trợ trị liệu đông thương				
NotCureHot	Ta sẽ không hỗ trợ trị liệu bị cảm nắng				
NotHelpCook	Ta sẽ không giúp làm cơm				
NotHeatEndure	Ta sẽ không hỗ trợ đề cao chịu nhiệt năng lực				
NotColdEndure	Ta sẽ không hỗ trợ đề cao chịu rét năng lực				
