ID	Name	Desc	EndDesc
	名字	描述	结束描述
1	Pháp Bảo Xuất Thổ	[TXT] Gần đây trong đêm ẩn hiện bảo quang, nghe nói có thất lạc pháp bảo đào được.	[TXT] Pháp bảo đã bị người cướp đi.
2	Pháp Bảo Xuất Thổ	[TXT] Gần đây thường có tinh quang trực trùng vân tiêu, nghe nói có trân quý pháp bảo sắp đào được.	[TXT] Pháp bảo đã bị người cướp đi.
3	Pháp Bảo Xuất Thổ	[TXT] Gần đây phong vân hội tụ, thiên địa dị biến, nghe nói có tiền cổ chí bảo sắp đào được.	[TXT] Pháp bảo đã bị người cướp đi.
4	Pháp Bảo Xuất Thổ	[TXT] Gần đây phong vân hội tụ, thiên địa dị biến, nghe nói có tiền cổ chí bảo sắp đào được. Nghe nói thụ phong ấn ảnh hưởng, bốn phía lâm vào giá lạnh tuyệt địa ([temperature]-150[/temperature]), không cách nào tới gần.	[TXT] Pháp bảo đã bị người cướp đi.
5	Pháp Bảo Xuất Thổ	[TXT] Gần đây phong vân hội tụ, thiên địa dị biến, nghe nói có tiền cổ chí bảo sắp đào được. Nghe nói thụ phong ấn ảnh hưởng, bốn phía hóa thành Viêm ngục tuyệt địa ([temperature]500[/temperature]), không cách nào tới gần.	[TXT] Pháp bảo đã bị người cướp đi.
6	Động Phủ Hiện Thế	Nghe nói [TXT] Có tiền cổ không biết tên Tán Tiên động phủ hiện thế.	[TXT] Tiên nhân động phủ đã hiện thế, trong đó bí bảo bị mộ danh mà đến người tu hành chia cắt.
7	Động Phủ Hiện Thế	Nghe nói [TXT] Có tiền cổ không biết tên Tán Tiên động phủ hiện thế. Động phủ có cấm pháp thủ hộ, trong đó giá lạnh bao phủ ([temperature]-150[/temperature]), không có sức chống cự người đi vào hẳn phải chết.	[TXT] Tiên nhân động phủ đã hiện thế, trong đó bí bảo bị mộ danh mà đến người tu hành chia cắt.
8	Động Phủ Hiện Thế	Nghe nói [TXT] Có tiền cổ không biết tên Tán Tiên động phủ hiện thế. Động phủ có cấm pháp thủ hộ, trong đó chân hỏa trải rộng ([temperature]500[/temperature]), không có sức chống cự người đi vào hẳn phải chết.	[TXT] Tiên nhân động phủ đã hiện thế, trong đó bí bảo bị mộ danh mà đến người tu hành chia cắt.
9	Động Phủ Hiện Thế	Nghe nói [TXT] Có tiền cổ không biết tên Tán Tiên động phủ hiện thế. Động phủ chủ nhân vì Luyện Khí Tông Sư, trong đó lợi dụng thuật luyện khí thiết lập vô số cơ quan cấm pháp, nếu như không tinh luyện khí chi đạo, nửa bước khó đi.	[TXT] Tiên nhân động phủ đã hiện thế, trong đó bí bảo bị mộ danh mà đến người tu hành chia cắt.
