Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数	文本参数
S_Carry_Discuss	0	Ta nói cho ngươi, [TNAME] Mang theo trong người một cái [TXT].	Ta đối cái này không hứng thú.	Đúng dịp, ta cũng biết!	A, thật sao? Ngươi đây đều biết?		
S_Carry_Ask	0	Ngươi có biết hay không [TNAME] Trên người có thứ gì	Ta làm sao biết?	Biết a, [TIT] Mang theo [TXT] Chạy khắp nơi.	Ta cũng không muốn nói cho ngươi.		
							
S_Esoterica_Discuss	0	Ngươi biết không?[TNAME] Đặc biệt am hiểu [TXT]!	Ta đối cái này không hứng thú.	Đúng dịp, ta cũng biết!	A, thật sao? Ngươi đây đều biết?		
S_Esoterica_Ask	0	Ngươi có biết hay không [TNAME] Am hiểu cái gì	Ta làm sao biết?	Biết a, [TIT] Am hiểu [TXT].	Ta cũng không muốn nói cho ngươi.		
							
S_Feature_Discuss	0	Ta nói cho ngươi, [TNAME] Là cái [TXT] Người.	Ta đối cái này không hứng thú.	Đúng dịp, ta cũng biết!	A, thật sao? Ngươi đây đều biết?		
S_Feature_Ask	0	Ngươi có biết hay không [TNAME] Là cái dạng gì người?	Ta làm sao biết?	Biết a, [TITS] Làm người ta biết, [TIT] Là cái [TXT] Người	Ta cũng không muốn nói cho ngươi.		
							
S_HateItem_Discuss	0	Ta nói cho ngươi, [TNAME] Không thích [TXT].	Ta đối cái này không hứng thú.	Đúng dịp, ta cũng biết!	A, thật sao? Ngươi đây đều biết?		
S_HateItem_Ask	0	Ngươi có biết hay không [TNAME] Có cái gì không thích đồ vật?	Ta làm sao biết?	Biết, [TIT] Ghét nhất [TXT]. Coi như nhìn thấy đều sẽ nổi giận.	Ta cũng không muốn nói cho ngươi.		
							
S_Hobby_Discuss	0	Ta nói cho ngươi, [TNAME] Có một kiện [TXT]. Như thế như vậy......	Ta đối cái này không hứng thú.	Đúng dịp, ta cũng biết!	A, thật sao? Ngươi đây đều biết?		
S_Hobby_Ask	0	Ngươi có biết hay không cùng [TNAME] Ở chung cần thiết phải chú ý thứ gì chỗ đặc biệt?	Ta làm sao biết?	[TIT] Có một cái [TXT], như thế như vậy. Cùng hắn ở chung nhất định phải chú ý cái này.	Ta cũng không muốn nói cho ngươi.		
							
S_LikeItem_Discuss	0	Ta nói cho ngươi, [TNAME] Đặc biệt thích [TXT].	Ta đối cái này không hứng thú.	Đúng dịp, ta cũng biết!	A, thật sao? Ngươi đây đều biết?		
S_LikeItem_Ask	0	Ngươi có biết hay không [TNAME] Có gì thích đồ vật?	Ta làm sao biết?	Biết, [TIT] Đặc biệt thích [TXT], thường xuyên vì [TXT] Cơm nước không vào.	Ta cũng không muốn nói cho ngươi.		
							
S_Secret_Discuss	0	Ta nói cho ngươi, [TNAME] Biết [TXT].	Ta đối cái này không hứng thú.	Đúng dịp, ta cũng biết!	A, thật sao? Ngươi đây đều biết?		
S_Secret_Ask	0	Ngươi nói [TNAME] Biết một chút cái gì.	Ta làm sao biết?	Liên quan tới [TXT], [TIT] Hẳn phải biết chút gì	Ta cũng không muốn nói cho ngươi.		
							
