ID	Name	Desc
ID	成就名字	介绍
1	Đắc đạo phi thăng	Tính gộp lại 1 Người phi thăng
2	Phi thăng đạt nhân	Tính gộp lại 3 Người phi thăng
3	Tiên giới khách quen	Tính gộp lại 5 Người phi thăng
4	Tiên tên truyền xa	Tính gộp lại 10 Người phi thăng
5	Mới ra đời	Tính gộp lại lịch luyện 1 Lần
6	Trà trộn hồng trần	Tính gộp lại lịch luyện 100 Lần
7	Đi lượt Thiên Sơn	Tính gộp lại lịch luyện 500 Lần
8	Rong ruổi thiên hạ	Tính gộp lại lịch luyện 1000 Lần
9	Thi vòng đầu luyện đan	Tính gộp lại luyện đan 1 Lần
10	Luyện đan quen tay	Tính gộp lại luyện đan 50 Lần
11	Đan môn cao nhân	Tính gộp lại luyện đan 100 Lần
12	Đại đan sư	Tính gộp lại luyện đan 500 Lần
13	Thi vòng đầu luyện bảo	Tính gộp lại luyện bảo 1 Lần
14	Luyện bảo quen tay	Tính gộp lại luyện bảo 50 Lần
15	Luyện bảo cao thủ	Tính gộp lại luyện bảo 100 Lần
16	Bảo Tôn Giả	Tính gộp lại luyện bảo 500 Lần
17	Thi vòng đầu vẽ bùa	Tính gộp lại vẽ bùa 1 Lần
18	Vẽ bùa quen tay	Tính gộp lại vẽ bùa 50 Lần
19	Vẽ bùa cao thủ	Tính gộp lại vẽ bùa 100 Lần
20	Phù thánh thủ	Tính gộp lại vẽ bùa 500 Lần
21	Sát niệm mới sinh	Tính gộp lại đánh giết 1 Tên sinh linh
22	Sát ý nghiêm nghị	Tính gộp lại đánh giết 100 Tên sinh linh
23	Sát khí tung hoành	Tính gộp lại đánh giết 500 Tên sinh linh
24	Sát thần	Tính gộp lại đánh giết 1000 Tên sinh linh
25	Tu chân sát thủ	Tính gộp lại đánh giết người tu hành 1 Người
26	Tu chân khắc tinh	Tính gộp lại đánh giết người tu hành 100 Người
27	Tu chân đồ tể	Tính gộp lại đánh giết người tu hành 500 Người
28	Thí tiên giả	Tính gộp lại đánh giết người tu hành 1000 Người
29	Thi vòng đầu sưu hồn	Tính gộp lại sưu hồn 1 Người
30	Sưu hồn quen tay	Tính gộp lại sưu hồn 10 Người
31	Sưu hồn cao nhân	Tính gộp lại sưu hồn 50 Người
32	Hồn Tông	Tính gộp lại sưu hồn 100 Người
33	Đầu bếp	Tính gộp lại làm ra 10 Loại đồ ăn
34	Đầu bếp	Tính gộp lại làm ra 20 Loại đồ ăn
35	Thực thần	Tính gộp lại làm ra 50 Loại đồ ăn
36	Linh tê lóe lên	Tính gộp lại làm ra 7 Giai tác phẩm nghệ thuật 1 Cái
37	Linh nghĩ chảy ra	Tính gộp lại làm ra 7 Giai tác phẩm nghệ thuật 10 Cái
38	Nghệ thuật gia	Tính gộp lại làm ra 7 Giai tác phẩm nghệ thuật 50 Cái
39	Vui thêm một	Tính gộp lại thuyết phục 1 Tên lữ nhân gia nhập
40	Vui thêm năm	Tính gộp lại thuyết phục 5 Tên lữ nhân gia nhập
41	Vui thêm mười	Tính gộp lại thuyết phục 10 Tên lữ nhân gia nhập
42	Tìm hiểu một chút	Tính gộp lại thuyết phục 20 Tên lữ nhân gia nhập
43	Mới học bí sách	Tính gộp lại thông qua sách học được 1 Bản bí tịch
44	Đọc nhiều sách vở kiến thức uyên bác	Tính gộp lại thông qua sách học được 10 Bản bí tịch
45	Học giàu năm xe	Tính gộp lại thông qua sách học được 50 Bản bí tịch
46	Bách Hiểu Sanh	Tính gộp lại thông qua sách học được 100 Bản bí tịch
47	Bất hạnh chết	Tính gộp lại đệ tử tử vong 1 Người
48	Họa vô đơn chí	Tính gộp lại đệ tử tử vong 5 Người
49	Tiên đồ nhiều thăng trầm	Tính gộp lại đệ tử tử vong 10 Người
50	Sinh tử vô thường	Tính gộp lại đệ tử tử vong 50 Người
51	Đau mất ái đồ	Tính gộp lại nội môn đệ tử tử vong 1 Người
52	Đau nhức càng thêm đau nhức	Tính gộp lại nội môn đệ tử tử vong 5 Người
53	Đau thấu tim gan	Tính gộp lại nội môn đệ tử tử vong 10 Người
54	Tan nát cõi lòng	Tính gộp lại nội môn đệ tử tử vong 20 Người
