ID	Name	Desc	sParam1	sParam2
ID	名字	介绍	胜利字符串	失败字符串
20000	Chính hướng xã giao	Tục truyền {0} Đệ tử tại {1} Phụ cận du lịch lúc, gặp được mấy tên {1} Đệ tử. Song phương kết bạn lịch luyện, xông xáo một phen, tại gần đây tu hành giới cũng coi như khuấy động một chút phong vân, xông ra một chút thanh danh. Hai phái quan hệ cũng bởi vậy hơi có tăng lên.		
20001	Chính hướng xã giao	Tục truyền {0} Trưởng lão tại {1} Phụ cận du lịch lúc, gặp được mấy tên {1} Đệ tử luận bàn.{0} Trưởng lão tâm tình không tệ, chỉ điểm một chút {1} Đệ tử tu hành, trong đó một tên đệ tử vậy mà tại chỗ đột phá. Việc này cũng tại tu hành giới truyền vì ca tụng, hai phái quan hệ cũng bởi vậy hơi có tăng lên.		
20002	Chính hướng xã giao	Tục truyền {0} Đệ tử tại [PLACE] Phụ cận du lịch lúc, gặp được một {1} Trưởng lão luyện pháp.{0} Đệ tử hầu hạ tả hữu, tứ phương bôn tẩu, sâu {1} Trưởng lão niềm vui. Sau khi chuyện thành công vậy mà được nên trưởng lão một cơ duyên to lớn. Việc này tại tu hành giới truyền vì một đoạn giai thoại, hai phái quan hệ cũng bởi vậy hơi có tăng lên.		
20003	Chính hướng xã giao	Tục truyền {0} Trưởng lão tại [PLACE] Phụ cận du lịch lúc, xảo ngộ một {1} Trưởng lão. Hai người mới quen đã thân, tại [PLACE] Cùng ngồi đàm đạo. Giảng đến chỗ huyền diệu, phương viên trăm dặm dị tượng xuất hiện, chim thú thành linh, là gần đây tu hành giới thịnh truyền đại sự. Hai phái quan hệ cũng bởi vậy rất có tăng lên.		
20004	Chính hướng xã giao	Tục truyền {0} Trưởng lão tại [PLACE] Phụ cận du lịch lúc, xảo ngộ một {1} Trưởng lão. Hai người kết bạn đồng hành, du lãm nơi đó u thắng, vậy mà cơ duyên xảo hợp phát hiện một tọa tiền cổ tiên nhân động phủ, cùng nhau thăm dò phía dưới, song phương rất có thu hoạch. Việc này truyền ra tại tu hành giới bị người lớn diễn thêm dịch, hai phái quan hệ cũng bởi vậy rất có tăng lên.		
20005	Chính hướng xã giao	Tục truyền {0} Trưởng lão tại [PLACE] Phụ cận du lịch lúc, trong lúc vô tình cứu được một đám bị yêu thú tập kích phàm nhân đội xe. Không nghĩ tới, đội xe này bên trong vậy mà đều là {1} Nội đường trưởng lão thế gian thân quyến. Việc này về sau, toàn bộ {1} Đều đối {0} Hảo cảm tăng nhiều, không tiếc gióng trống khua chiêng biểu đạt cám ơn, hai phái quan hệ cũng bởi vậy rất có tăng lên.		
20006	Chính hướng xã giao	Tục truyền {0} Trưởng lão đang nỗ lực hàng phục [PLACE] Đào được pháp bảo lúc, vậy mà gặp được một đôi thông linh bí bảo. Dưới sự ứng phó không kịp, {0} Suýt nữa để pháp bảo chạy thoát. Nhờ có một {1} Trưởng lão đi ngang qua làm viện thủ mới thành công hàng phục bảo vật này. Hai người chia đều đôi này thông linh bí bảo, dẫn làm hảo hữu. Việc này tại tu hành giới cũng truyền vì ca tụng, hai phái quan hệ cũng bởi vậy rất có tăng lên.		
20007	Chính hướng xã giao	Tục truyền {0} Trưởng lão tại [PLACE] Phụ cận du lịch lúc, vậy mà gặp được một {1} Trưởng lão bị mấy hung thú vây công, thân hãm hiểm cảnh.{0} Trưởng lão cam mạo phong hiểm xuất thủ cứu giúp, cuối cùng đánh giết dị thú, rất có thu hoạch. Hai người qua chiến dịch này hỗ sinh ái mộ, vậy mà kết làm đạo lữ. Việc này tại gần đây thông truyền tu hành giới, vì mọi người nói chuyện say sưa, hai phái quan hệ cũng bởi vậy rất có tăng lên.		
20008	Chính hướng xã giao	Tục truyền {0} Trưởng lão tại [PLACE] Phụ cận du lịch lúc, vậy mà gặp được {1} Trưởng lão bị cừu địch truy sát, đã gần như vẫn lạc.{0} Trưởng lão độc thân mạo hiểm, giết nhân số mười, hộ tống ngàn dặm đến {1} Sơn môn. Việc này gần đây danh chấn tu hành giới, tại các phái truyền vang, hai phái quan hệ cũng bởi vậy rất có tăng lên.		
20009	Chính hướng xã giao	Tục truyền {0} Đệ tử bái phỏng {1} Sơn môn, đúng lúc gặp {1} Bên trong mấy tên nội môn đệ tử luận kiếm diễn pháp. Đám người trong mấy ngày lẫn nhau triển thần thông, đánh ra rất nhiều đặc sắc quyết đấu, song phương chủ và khách đều vui vẻ. Trận này pháp hội cũng tại tu hành giới rất có lưu truyền, hai phái quan hệ cũng bởi vậy hơi có tăng lên.		
20010	Chính hướng xã giao	Tục truyền {0} Trưởng lão bái phỏng {1} Sơn môn, tự mình bái kiến {1} Chưởng môn, song phương mật đàm mấy ngày, cuối cùng lặng yên rời đi. Việc này bị người hữu tâm tiết lộ, tại tu hành giới gây nên đủ loại suy đoán. Hai phái quan hệ cũng bởi vậy rất có tăng lên.		
20011	Đảo ngược xã giao	Tục truyền {0} Đệ tử tại {1} Phụ cận du lịch lúc, gặp được mấy tên {1} Đệ tử. Song phương một lời không hợp, ra tay đánh nhau, cuối cùng đều có thương vong, ôm hận kết thúc. Việc này truyền ra cũng tại tu hành giới gây nên một chút nghị luận, hai phái quan hệ hơi có chuyển biến xấu.		
