ID	Desc	MidName
ID	描述	中间词缀 参与名字随机
1	 Đề cao pháp bảo uy lực	Phá Diệt
2	 Đề cao pháp bảo hồi khí năng lực	Súc Thần
3	 Giảm bớt pháp bảo công kích khoảng cách	Tấn Kích
4	 Đề cao pháp bảo bền bỉ	Hỗn Nguyên
5	 Đề cao pháp bảo lực trùng kích	Thiên Quân
6	 Đề cao pháp bảo tốc độ	Tấn Ảnh
7	 Đề cao pháp bảo độ linh hoạt	Viên Chuyển
8	 Đề cao pháp bảo kháng lực trùng kích	Khôn Nguyên
9	 Đề cao pháp bảo kéo đuôi chiều dài	Duệ Ảnh
2000	 Giảm bớt thuật pháp pháp lực tiêu hao	Quy Tàng
2001	 Giảm bớt thuật pháp phóng thích thời gian	Cấp Tụng
2002	 Đề cao thuật pháp uy lực	Băng Thiên
2003	 Giảm bớt thuật pháp pháp lực tiêu hao	Quy Tàng
2004	 Tập được chiến đấu kỹ năng	Pháp Chú
3001	 Đề cao hộ thuẫn cơ sở giá trị	Điện Cơ
3002	 Đề cao hộ thuẫn lực phòng ngự	Kim Cương
4001	 Đề cao đan dược luyện chế tốc độ	Diệu Thủ
4002	 Đề cao đan dược luyện chế thành công suất	Thần Nông
4003	 Đề cao đan dược luyện chế sản lượng	Ốc Dã
5001	 Đề cao pháp bảo luyện chế tốc độ	Quỷ Thủ
5002	 Đề cao pháp bảo luyện chế thành công suất	Đa Bảo
5003	 Đề cao pháp bảo luyện chế lúc phẩm giai	Trác Ngọc
5004	 Đề cao pháp bảo luyện chế lúc phẩm chất	Bách Luyện
6001	 Đề cao thần thức	Thần Thị
6002	 Đề cao căn cốt	Quy Tổ
6003	 Đề cao uống khí hiệu quả	Tịch Cốc
6004	 Đề cao tinh nguyên thu hoạch được suất	Thao Thiết
6005	 Giảm bớt mệt nhọc tiêu hao	Khí Nhiếp
6006	 Đề cao mệt nhọc khôi phục	Kình Thôn
6007	 Đề cao tuổi thọ	Thần Quy,Vạn Cổ,Trường Thanh
6008	 Đề cao đau đớn nhẫn nại	Quyết Ý
6009	 Tăng lên tâm tính	Thanh Tâm
7001	 Đề cao ngộ tính	Thông Tuệ
7002	 Đề cao mị lực	Nhiếp Thần
7003	 Đề cao cơ duyên	Thần Hữu
7004	 Giảm bớt giải trí tiêu hao	Phật Tâm
7005	 Đề cao giải trí thu hoạch	Hợp Nhất
