ID	Title	Hobby
1	Thống Hám Chi Sự	[NAME] Từng tại một lần luận bàn bên trong ngộ sát hảo hữu, cái này khiến [IT] Thường xuyên hối hận nan giải.
2	Thống Hám Chi Sự	[NAME] Đã từng hẹn người thương du ngoạn lúc, bị đối đầu tìm tới cửa. Tranh đấu phía dưới, người yêu chết bởi địch thủ, đây là [NAME] Vĩnh sinh nan giải đau lòng.
3	Thống Hám Chi Sự	[NAME] Tại một lần đấu pháp bên trong, bởi vì trúng địch nhân huyễn thuật mà giết chết mười mấy tên đồng môn sư huynh đệ. Việc này là [NAME] Trong lòng khó tiêu ác mộng.
4	Thống Hám Chi Sự	[NAME] Tại một lần cùng hảo hữu thám hiểm bên trong, bởi vì gặp được thích nhất [LIKEITEM] Mà bị tham lam che đậy tâm trí, vậy mà đem hảo hữu đánh thành trọng thương, cũng vì thế quyết liệt. Sau đó [NAME] Cũng mười phần hối hận việc này, đáng tiếc chuyện cũ không thể truy.
5	Thống Hám Chi Sự	[NAME] Đã từng mười phần thích [HATEITEM], nhưng ở một lần Tiên Phủ thăm dò bên trong, mình bởi vì lòng tham [HATEITEM] Mà ngộ nhập cạm bẫy, hảo hữu chí giao vì cứu [IT] Mà đã mất đi tính mệnh. Việc này trở thành [NAME] Vĩnh viễn tiếc nuối.
6	Thống Hám Chi Sự	[NAME] Đã từng mười phần thích [HATEITEM], nhưng có một lần đấu pháp bên trong bởi vì [HATEITEM] Mà phân tâm, dẫn đến mình tình cảm chân thành chết bởi địch thủ.[NAME] Vì thế thương tiếc cả đời.
7	Tâm Trung Thương Ba	[NAME] Có một lần vì [LIKEITEM] Mà bỏ lỡ Kết Đan cơ duyên, chậm trễ tu hành. Việc này trở thành đồng môn trò cười, cũng là [NAME] Trong lòng vết sẹo.
8	Tâm Trung Thương Ba	[NAME] Từng tại một cái tiểu môn phái tu hành, tại một lần cùng đồng môn tụ hội bên trong, bị không ngừng dùng ghét nhất [HATEITEM] Trêu chọc.[NAME] Không thể nhịn được nữa, cuồng tính đại phát, xuất thủ đem đồng môn đều đánh chết, [NAME] Cũng bởi vậy phản bội chạy trốn hồi lâu, cuối cùng mới bái nhập bây giờ sư môn. Việc này là một sinh bóng ma, khó mà tiêu tan.
9	Tâm Trung Thương Ba	[NAME] Đã từng cùng một đạo hữu lưỡng tình tương duyệt, mà ở đạo hữu sinh nhật thời điểm, [NAME] Lại vì thích nhất [LIKEITEM] Mà thả đối phương bồ câu, sau đó đã mất đi đoạn nhân duyên này. Việc này là [NAME] Trong lòng vĩnh viễn vết sẹo.
10	Tâm Trung Thương Ba	[NAME] Luôn luôn rất tự đắc tại, mình cất giữ các loại [LIKEITEM], nhưng mà có hai cái đồng môn tổng đối với cái này châm chọc khiêu khích.[NAME] Không thể nhịn được nữa, dẫn dụ hai người lạc đàn, đem tru sát. Việc này cũng trở thành [NAME] Trong lòng cấm kỵ.
11	Tâm Trung Thương Ba	[NAME] Đã từng mười phần thích [LIKEITEM], nhưng tổng lọt vào cùng thế hệ sư huynh đệ chế giễu, nói [IT] Bản sự không có nhiều, thích đồ vật còn rất cao cấp, thật sự là cóc ghẻ mà đòi ăn thịt thiên nga.[NAME] Không thể nhịn được nữa, rốt cục vì thế phản bội chạy trốn ra trước đó môn phái. Việc này cũng trở thành [IT] Trong lòng cấm kỵ.
12	Tâm Trung Thương Ba	[NAME] Đã từng cùng một đạo hữu lưỡng tình tương duyệt, mà ở đối phương biết [NAME] Thích [LIKEITEM] Lúc, quả quyết bỏ qua [IT].[NAME] Đối với cái này phi thường không hiểu, việc này cũng thành [IT] Trong lòng vĩnh viễn vết sẹo.
13	Chấp Trứ Chi Niệm	[NAME] Đặc biệt chấp nhất trân quý cùng mình kiếp này người thân, mặc dù bọn hắn vào không được tiên môn, nhưng là [IT] Âm thầm bảo vệ bọn hắn thế gian sinh hoạt hạnh phúc an khang.[IT] Thân nhân xem như chấp niệm trong lòng.
14	Chấp Trứ Chi Niệm	[NAME] Đặc biệt chấp nhất tại [LIKEITEM], [IT] Cuối cùng cả đời chi lực góp nhặt rất nhiều [LIKEITEM], coi như trân bảo. Những bảo bối này là [IT] Chấp niệm trong lòng.
15	Chấp Trứ Chi Niệm	[NAME] Đặc biệt chấp nhất tại môn phái, tại [IT] Trong lòng môn phái cao hơn hết thảy, môn phái chính là [IT] Trong lòng lớn nhất chấp niệm.
16	Chấp Trứ Chi Niệm	[NAME] Đặc biệt chấp nhất tại ưu tú vãn bối đệ tử, tại [IT] Xem ra, thanh niên tài tuấn mới là môn phái chân chính hi vọng, trong phái ưu tú vãn bối là [IT] Trong lòng lớn nhất chấp niệm.
17	Chấp Trứ Chi Niệm	[NAME] Đặc biệt chấp nhất tại tuổi trẻ nhục thể, tại [IT] Xem ra, tu hành chính là vì thu hoạch được lâu dài tuổi thọ cùng thân thể trẻ trung, đây là [IT] Trong lòng lớn nhất chấp niệm.
18	Chấp Trứ Chi Niệm	[NAME] Đặc biệt chấp nhất với mình dung mạo, tại [IT] Xem ra tự thân dung mạo cử thế vô song, không ai bằng, đây là [IT] Trong lòng lớn nhất chấp niệm.
