ID	Name	Desc	Gong	GrandMaster
499后不可用	门派名字	介绍	门派功法 随便填 没实体	祖师
1	Đan Hà Động Thiên	Thượng thanh tại Nhân Gian giới đích truyền, tọa lạc ở Đan Hà Sơn tuyệt đỉnh, chính là chính đạo Để Trụ. Đan Hà phái tinh thông pháp bảo luyện chế chi thuật, trong phái trấn phái thập đại thần kiếm đều là Thập phẩm trở lên vô thượng thần binh.	Kỷ Dần Cửu Trùng Đa Bảo Chân Giải	Linh Bảo Thiên Tôn
2	Côn Lôn Cung	Ngọc Thanh Nguyên Thủy truyền lại nhân gian đạo thống, hùng ngồi long mạch tổ đình Côn Luân Sơn chi lộc, chính là chính đạo Để Trụ. Côn Luân phái sở tu Ngọc Thanh tiên pháp lấy pháp lực hùng hồn tăng trưởng, nó cửa người đệ tử đông đảo, có thể xưng chính đạo đại phái đệ nhất.	Ngọc Thanh Tiên Pháp	Nguyên Thủy Thiên Tôn
3	Cực Thiên Cung	Chỗ thiên cực phong ẩn thế môn phái, trong phái chỉ lấy tuấn nam mỹ nữ. Môn phái bí pháp lấy tình nhập đạo, trước hữu tình sau vong tình, dùng cái này đạt đến thái thượng cảnh giới, cho tu hành giới lưu lại đông đảo nam nữ si tình.	Thái Thượng Vong Tình Đạo	Minh Tôn
4	Tử Tiêu Tông	Nhập thế đạo môn, tinh thông gió thủy thuật số, giảng cứu hành hiệp thiên hạ ma luyện đạo tâm, nó cửa người dù tu tiên đạo, làm việc lại rất có du hiệp chi phong, nhiều lấy phong thuỷ thuật số chi pháp hành tẩu giang hồ.	Tử Hà Chân Pháp	Tử Hà Chân Nhân
5	Huyền Nhất Đạo	Nhập thế đạo môn, tại thế tục làm quốc giáo, đế vương chi sư. Môn phái kiến thiết cũng lộng lẫy trang nghiêm, lấy tử sắc làm chủ, có Hoàng gia khí tượng. Bởi vì được tôn sùng là quốc giáo, là lấy hương hỏa nối liền không dứt.	Ngũ Lôi Thiên Tâm Chính Pháp	Huyền Nhất Đạo Nhân
6	Thanh Liên Kiếm Tông	Thanh Liên Kiếm Tiên truyền lại ẩn thế đạo môn, môn phái tinh tu kiếm pháp, nặng sát phạt chi thuật, lấy tiêu dao chi đạo làm tôn chỉ.	Thái Bạch Thần Kiếm	Thanh Liên Tiên Tôn
7	Tê Hà Động Thiên	Tê Hà động thiên tọa lạc ở năm sen núi thiên trì bên bờ, nó cửa nhân tinh thông luyện đan chi đạo, tại tu hành giới hành y tế thế, di thế độc lập.	Vân Cấp Bí Lục	Ngũ Liên Chân Nhân
8	Bách Man Sơn	Phương nam Ma giáo tổ đình, trong phái đa số Nam Cương man nhân, làm việc hung tà ngang ngược, thường thường phạm phải tu hành giới nghe rợn cả người thảm án.	Bách Độc Chân Kinh	Lục Bào Lão Tổ
9	Thất Thiên Ổ	Tọa lạc tại hãm không núi tà giáo, thờ phụng Đại Địa Chi Mẫu. Trong phái bí điển lưỡng cực đại pháp, có thể đem vỏ quả đất chỗ sâu nguyên từ chi khí luyện vào thân thể hình thành từ trường, nếu như chưa luyện cùng loại công pháp người tới gần phạm vi trăm trượng, đều sẽ cảm thấy công pháp vận chuyển mất linh, cực đoan khó chịu. Bởi vậy giáo phái này rất khó thẩm thấu, tại tu hành giới đều phi thường thần bí.	Lưỡng Cực Đại Pháp	Thiên Tàn Lão Nhân
10	Thất Sát Ma Cung	Đương kim tà đạo chí tôn, làm lấy bá đạo hoành hành kiếm thuật nghe tiếng tu hành giới. Môn phái kiến thiết cũng như thế, kiếm trận san sát, sát khí tung hoành.	Thất Sát Kiếm Quyết	Thất Sát Đạo Nhân
11	Hợp Hoan Phái	Tọa lạc ở đoàn tụ đảo tà phái, trong phái hạch tâm đều là nữ đệ tử, tới nay bổ chi thuật văn danh thiên hạ.	Lục Dục Tâm Kinh	Kim Linh Phu Nhân
12	Vạn Yêu Điện	Tọa lạc tại tây hoang đại mạc chỗ sâu tà giáo cự phách.	Hóa Hình Quyết	Xà Đế
