Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数(SECRET为事件ID)	文本参数		
First	1	Ngươi là người phương nào?	Ta gọi [NAME]... Gặp qua tiên trưởng!						
First	3	Ta chính là [NAME], ngươi là?	Xin ra mắt tiền bối, tại hạ [NAME]!						
First	4	Tại hạ [NAME], lần đầu gặp mặt!	Ngô, ta là [NAME]!						
First	5	Lần đầu gặp mặt, ta là [NAME], xin hỏi đạo hữu tính danh?	Khách khí, tại hạ [NAME], hạnh ngộ hạnh ngộ!						
									
Track	0	Ngươi biết [TSCHOOL][TNAME] Gần đây hành tung a?	Ta đối người này không có hứng thú	Hắn hai ngày này tựa hồ tại [TXT].	Ta tại sao phải nói cho ngươi biết?				
TrackTell	0	[TSCHOOL][TNAME] Hai ngày này tại [TXT]	Ta đối người này không có hứng thú	A, tạ ơn cáo tri!	Cái này ta đã biết				
									
TrackT	0	Ngươi gần nhất có xuất hành kế hoạch sao?	......	Ta hai ngày chuẩn bị đi lội [TXT], thế nào?	Ta tại sao phải nói cho ngươi biết?				
TrackTellT	0	Ngươi nhưng là muốn tiến về [TXT] Sao? Chú ý an toàn.	A......	Đạo hữu có lòng, ta sẽ cẩn thận!	Làm sao ngươi biết?				
									
AboutNpc	0	Ngươi biết [TSCHOOL][TNAME] Sao?	Người này ai? Không biết.	Ta biết một điểm liên quan tới [IT][TXT] Sự tình	Ngươi có [TITS] Tin tức sao?				
									
Gift	1	Ban thưởng ngươi vật này!	Cảm tạ tiên trưởng!	Cảm tạ tiên trưởng!	......( Khúm núm )				
Gift	3	Cái này [TXT] Cùng ngươi, còn vừa ý?	Vật này không tệ, cám ơn!	Vật này rất tốt, tiền bối có lòng!	Ngô......( Nhíu mày )				
Gift	4	Cái này [TXT] Còn xin vui vẻ nhận!	A, vật này còn có thể.	Vật này rất tốt, đạo hữu có lòng!	Hừ......				
Gift	5	Cái này [TXT] Còn xin vui vẻ nhận!	A, vật này còn có thể.	Vật này rất tốt, đạo hữu có lòng!	Ha ha......				
									
Invite	1	Ta hỏi ngươi, ngươi nhưng có hứng thú đến ta tiên sơn chiêm ngưỡng một phen?	Ta đã trả lời qua.	Quá tốt rồi! Cái này chẳng phải là ta thiên đại tiên duyên?!	Ta còn có rất nhiều thế tục không có xử lý, không đi được a.				
Invite	2	[HENAME] Đạo hữu, nhưng có hứng thú đến chúng ta phái làm khách du lãm một phen?	Ta đã trả lời qua.	Đang có ý này!	Gần nhất không tiện, cáo lỗi!				
									
Close	1	Liền cho tới chỗ này đi!	Cung tiễn tiên trưởng!						
Close	2	Hôm nay liền trò chuyện những này đi, đạo hữu, cáo từ!	Sau này còn gặp lại!						
									
Secret	2	Gần nhất có cái gì chuyện thú vị a?	Ta nói cho ngươi cái ta vừa nghe nói cái bí mật.						
									
Interest	0	Ân? Có chuyện gì a?	Ta đối [TSCHOOL][TNAME] Tin tức rất có hứng thú, ngươi biết thứ gì sao?						
Interest	0	Ân? Có chuyện gì a?	Ngươi có [TSCHOOL][TNAME] Tin tức sao?						
Interest	0	Ân? Có chuyện gì a?	Ngươi chưa từng gặp qua [TSCHOOL][TNAME]?						
									
Know	0	Gần nhất nhưng có cái gì chuyện mới mẻ?	Ta biết một chút [TSCHOOL][TNAME] Liên quan tới [TXT] Sự tình.						
Know	0	Gần nhất nhưng có cái gì chuyện mới mẻ?	Ta thăm dò được [TSCHOOL][TNAME] Liên quan tới [TXT] Một ít tin tức.						
Know	0	Gần nhất nhưng có cái gì chuyện mới mẻ?	Hai ngày trước gặp được [TSCHOOL][TNAME], thân thể không tệ.						
									
Chat	0	Gần nhất thế nào?	Ha ha.						
Chat	0	Có đôi khi lại đột nhiên cảm thấy đột nhiên cùng trên thế giới hết thảy cách biệt, mười phần tịch mịch.	...... Nghe không hiểu ngươi đang nói cái gì......						
