Key	Value
[兽形态]\n变身成兽形态	[Dạng thú]\nBiến hình thành dạng thú
兽形态	Hình thái thú
[妖形态]\n变身成妖形态	[Dạng yêu]\nBiến hình thành dạng yêu
妖形态	Yêu thân
人形态	Hình người
[人形态]\n变身成人形态	[Dạng người]\nBiến hình thành dạng người
无法切换秘体!	Không thể đổi Bí Thể!
指定元灵	Chỉ định
只有术法登峰造极之时才能凝练出术法元灵,指定元灵的术法会在战斗时自动释放	Chỉ khi thuật pháp đạt tới đỉnh cao mới có thể ngưng tụ thành Nguyên linh thuật pháp. Thuật pháp được chỉ định nguyên linh sẽ tự động thi triển khi chiến đấu
已指定术法元灵({0}/{1})	Đã chỉ định Nguyên linh thuật pháp ({0}/{1})
需要先启用太始/太终/太虚/太真中任意一个天道！	Cần kích hoạt một trong Thiên đạo Thái Thủy/Thái Chung/Thái Hư/Thái Chân trước!
无法胜任这项工作!	 Không thể đảm nhận công việc này!
当前效果:{0}	Hiệu quả hiện tại: {0}
额外灵气:{0:N0}	Linh khí thêm: {0:N0}
归阵	Quy \ntrận
{0}人	{0} người
 或 	 Hoặc 
{0}次	{0} lần
取消使用	Hủy bỏ sử dụng
编队	Tạo đội
没有可用神通	Không có thần thông khả dụng
全部折叠	Thu gọn tất cả
全部展开	Mở rộng tất cả
只有上古大能才能挑战金仙模式。	Chỉ có đại năng cổ xưa mới có thể thử thách chế độ Kim Tiên.
精怪 · 	Tinh quái · 
<font color=#B65704>主材料:\n</font>	<font color=#B65704>Nguyên liệu chính:\n</font>
我们完成了{0}的任务，他们的长老表示感谢，并欠了我们人情。\n获得了{0}的{1}点人情。	Chúng ta đã hoàn thành nhiệm vụ của {0}, trưởng lão của họ bày tỏ lòng cảm ơn và còn nợ chúng ta một phần nhân tình.\nNhận được {1} điểm nhân tình của {0}.
我们完成了{0}的任务，他们的长老表示感谢。\n获得了{0}的{1}点好感度。	Chúng ta đã hoàn thành nhiệm vụ của {0}, trưởng lão của họ bày tỏ sự cảm ơn.\nNhận được {1} điểm thiện cảm của {0}.
\n[color=#B65704]耗时较长[/color]	\n[color=#B65704]Tốn nhiều thời gian[/color]
选择建造地点 	Chọn địa điểm xây dựng 
重要情绪:	Cảm xúc quan trọng:
你的门派声望已经达到{0},来袭的敌人强度会随之提升，请做好防范！	Danh vọng Môn phái của bạn đã đạt {0}, sức mạnh kẻ địch sẽ tăng theo, hãy đề phòng!
周边	Địa điểm
 功法:{0} 	 Công pháp: {0} 
 秘籍:{0} 	 Bí kíp: {0} 
取消研习	Hủy bỏ học tập
取消收藏	Hủy bỏ yêu thích
{1}{2}  剩余:{0}	{1}{2}  Còn lại:{0}
{0}[color=#ff0000]({3})[/color]\n剩余:{1}   [color=#ff0000]需要:{2}[/color]\n来源:{4}	{0}[color=#ff0000]({3})[/color]\nCòn lại:{1}   [color=#ff0000]Cần:{2}[/color]\nNguồn:{4}
执行并发布命令！	Thực thi và phát lệnh!
[color=#ff0000]拖动框选范围[/color]	[color=#ff0000]Kéo để chọn phạm vi[/color]
瓶颈突破成功	Đột phá bình cảnh thành công
未解锁建筑无法加入建造队列！	Công trình chưa mở khóa không thể được thêm vào hàng đợi xây dựng!
[{0}][color=#66FF00](已参悟)[/color]\n{1}	[{0}][color=#66FF00](Đã tham ngộ)[/color]\n{1}
[color=#66FF00]已参悟[/color]	[color=#66FF00]☯[/color]
\n[align=center][color=#CCCCCC]----未参悟----[/color][/align]	\n[align=center][color=#81C1F5]---- Công pháp tiến giai ----[/color][/align]
\n[align=center][color=#FFFF66]----已参悟----[/color][/align]	\n[align=center][color=#FFFF66]----Đã tham ngộ----[/color][/align]
\n提高道行：{0}\n	\nTăng đạo hạnh: {0}\n
[{1}]\n{2}\n需要参悟值：{0:F0}	[{1}]\n{2}\nCần giá trị cảm ngộ: [color=#66FF00]{0:F0}[/color]
[color=#ff0000]下一级参悟值：{0:F0}/{1:F0}[/color]\n提高道行: {3}\n{2}	Giá trị cảm ngộ cấp tiếp theo: [color=#ff0000]{0:F0}/{1:F0}[/color]\nTăng đạo hành: {3}\n{2}
旁门：{0:N0}/{1:N0}	Bàng môn: {0:N0}/{1:N0}
玄门：{0:N0}	Huyền Môn: {0:N0}
参悟值：{0:N0}	Giá trị cảm ngộ: {0:N0}
已习得\n({0}/{1})种	Đã học\n({0}/{1}) loại
已习得\n{0}种	Đã học được\n{0} loại
{2}\n\n所需境界:{3}{4}\n<font color=#CCFF66>{0}</font>\n{1}	{2}\n\nCảnh giới yêu cầu:\n{3}{4}\n<font color=#CCFF66>{0}</font>\n{1}
受太玄天道影响，无法手动选择！	Bị ảnh hưởng bởi thiên đạo Thái Huyền, không thể tự chọn!
一种{0}的天道异动消散了……	Một dị động thiên đạo loại {0} đã biến mất...
{0:F0}点 {1}（受到天道异动影响）	{0:F0} điểm {1} (bị ảnh hưởng bởi dị động của thiên đạo).
受到天道异动的影响，无法禁足通灵物!	Bị ảnh hưởng bởi dị động thiên đạo, không thể cấm túc thông linh vật!
受到天道异动影响，	Bị ảnh hưởng bởi dị động thiên đạo,
门派正遭受攻击	Môn phái đang bị tấn công
请框选区域范围!	Hãy khoanh vùng phạm vi!
请点击确认执行建造！	Vui lòng nhấp xác nhận để thực hiện xây dựng!
可多选目标，批量执行！	Có thể chọn nhiều mục tiêu, thực hiện hàng loạt!
请长按并框选范围!	Vui lòng nhấn giữ và khoanh vùng phạm vi!
请选择移动目的地	Vui lòng chọn điểm di chuyển đến
请确认建造！	Xin xác nhận xây dựng!
{0}\n(面积:{1}x{2})	{0}\n(Diện tích: {1}x{2})
\n房间最小面积为4，最大面积为400	\nDiện tích phòng tối thiểu là 4, tối đa là 400
  ({0}格[{1}])	  ({0} ô [{1}])
请选择数量！	Vui lòng chọn số lượng!
批量选取	Chọn Hàng Loạt
选取{0:N0}个	Chọn {0:N0} cái
单击选择目标，长按框选范围	Nhấn để chọn mục tiêu, giữ để khoanh vùng
单击选择目标，长按框选范围!	Nhấp để chọn mục tiêu, nhấn giữ để chọn phạm vi!
[打开]\n防御及保护，开启后会自动反击发起攻击的敌人	[Mở]\nPhòng thủ và Bảo vệ, bật lên sẽ tự động phản kích Kẻ địch tấn công
