ID	Content
	Trong chuyện xưa cho
1	[NAME] Trải qua thế gian cướp, rốt cục siêu thoát thế gian, phi thăng lên Cửu Linh thiên chi giới.
2	[NAME] Du lịch tiên giới thời điểm, dưới cơ duyên xảo hợp ăn nhầm kỳ vật [DAN1]. Nhưng mà ngoài ý liệu chính là, vật này lại là hỗn độn hoá sinh dị chủng, [NAME] Phục dụng về sau đạo hạnh bạo tăng, càng không có cách nào áp chế, rốt cục ẩn dật, thân hóa thiên đạo.
3	[NAME] Tại tiên giới du lịch lúc, ngẫu nhiên biết được Đại La Kim Tiên chi huyền diệu. Nguyên lai tiên nhân tuy đều tiêu dao, nhưng trong đó thành tựu cũng có khác biệt, chỉ có tại nhân gian chư thái viên mãn hậu phương có thể chứng thành Đại La, tại hỗn độn bên ngoài mở thế giới.[NAME] Đối với cái này tỏa ra hướng tới, vì cầu chứng Đại La, dứt khoát trùng nhập luân hồi.
4	[NAME] Tại tiên giới tiềm tu nhiều năm, rốt cục chạm đến Thiên Tiên Cảnh Giới cánh cửa. Nhưng mà tâm cảnh tu vi có thiếu, tại đột phá luân hồi định cảnh bên trong mê thất, Tiên gia tu vi vừa tan tận, một lần nữa rơi vào trong luân hồi.
5	[NAME] Du lịch tiên giới nhiều năm, rốt cục quyết định không còn bôn ba, dễ dàng cho [PLACE1] Tìm kiếm một khối bảo địa quy ẩn, từ đây tiên tung khó kiếm, tiêu dao tự tại.
6	[NAME] Tại du lịch tiên giới quá trình bên trong nhiều lần tham dự Tiên gia tranh chấp, rốt cục khó gãy nghiệp duyên, tại một lần bế quan bên trong tiên tâm thất thủ, hình thần tiêu tán, trùng nhập luân hồi.
7	[NAME] Tại tiên giới cùng ma vật trong chiến tranh bất hạnh nhiễm ma tức, đợi cho phát giác thời điểm đã không cách nào có thể cứu. Vì phòng ngừa triệt để ma nhiễm hóa thành ma vật, [NAME] Chỉ có thể tan hết tu vi, trùng nhập luân hồi.
8	[NAME] Du lịch đến [PLACE1] Lúc, ở nơi này phát hiện tên là [EVENT1] Thiên địa dị tượng. Vì thể ngộ trong cái này huyền diệu, [NAME] Quyết định tại phụ cận trong hư không mở động phủ, đóng trại.\n Tại một lần trong tham ngộ, dị tượng bỗng nhiên dị biến bộc phát, [NAME] Nhất thời không quan sát, tâm thần vì đó chấn nhiếp, toàn thân tiên lực theo này kỳ quan mà hóa, bị thu hút thiên địa dị tượng bên trong, không có tung tích gì nữa.
9	[NAME] Tại tiên giới tiềm tu nhiều năm, rốt cục chạm đến Thiên Tiên Cảnh Giới cánh cửa. Nhưng mà pháp lực tẩy luyện không đủ, mặc dù vượt qua luân hồi định cảnh, nhưng ở tái tạo không để lọt Tiên thể quá trình bên trong lực có thua.[NAME] Không muốn trở thành linh tiên sống tạm, liền từ tán tu vì, trùng nhập luân hồi.
10	[NAME] Tại tiên giới du lịch lúc, vô ý đem [NAME1] Đệ tử đánh rớt phàm trần.[NAME1] Vì đoạn nhân quả, tự mình xuất thủ, đem [NAME] Tu vi trảm diệt, đánh vào luân hồi.
11	[NAME] Tại tiên giới du lịch lúc, tại [PLACE1] Tao ngộ ma khe hở bộc phát. Vì phòng ngừa đại quy mô ma nhiễm xuất hiện, chúng thượng tiên hợp lực phong tỏa nơi đây, cùng ma vật đại chiến mấy chục năm.[NAME] Cùng trận này trong chiến loạn bất hạnh vẫn lạc, trùng nhập luân hồi.
12	[NAME] Tại [PLACE1] Du lịch lúc, tao ngộ [MONSTER1] Vây công, Tiên thể phá diệt. Dưới sự bất đắc dĩ [NAME] Đành phải từ Tán Tiên lực, trùng nhập luân hồi.
13	[NAME] Du lịch tiên giới thời điểm, bỗng cảm thấy [IDEA1], linh cơ giao cảm phía dưới, hiểu Thiên Tiên chi đạo. Tại [PLACE1] Hạ bế quan mười mấy năm, tái tạo không để lọt Tiên thể, thấm nhuần muôn đời luân hồi, thành tựu Thiên Tiên Cảnh Giới.\n Luân hồi chi cảnh trúng đạn chỉ ngàn năm, quay đầu đã cảm giác chuyện cũ nhạt như bụi mù. Giờ khắc này [NAME] Mới rốt cục hoặc nhiều hoặc ít minh bạch, như thế nào Thiên Tiên chi cảnh, những cái kia phi thăng tổ sư vì sao cũng không tiếp tục người Hồi ở giữa.
14	[NAME] Tại [PLACE1] Tao ngộ [MONSTER1] Vây công, mặc dù may mắn đào thoát, nhưng Tiên thể phá diệt, cơ hồ muốn trùng nhập luân hồi. Dưới tuyệt cảnh, [NAME] Cưỡng ép đột phá Thiên Tiên Cảnh Giới, từ tán nhục thân, tiêu hết pháp lực, Nguyên Thần thẳng vào luân hồi định cảnh. Tại trong nháy mắt một cái chớp mắt bên trong nặng lịch muôn đời luân hồi. May mà [NAME] Phúc duyên thâm hậu, một điểm chân linh tại trong luân hồi bất diệt, vậy mà phá cảnh thành công!\n Đợi cho thức tỉnh thời khắc, [NAME] Toàn thân pháp lực đã bị tẩy luyện vì Thiên Tiên chi lực, nhục thân cũng gây dựng lại vì không để lọt Tiên thể, quay đầu đã cảm giác chuyện cũ nhạt như bụi mù. Giờ khắc này [NAME] Mới rốt cục hoặc nhiều hoặc ít minh bạch, như thế nào Thiên Tiên chi cảnh, những cái kia phi thăng tổ sư vì sao cũng không tiếp tục người Hồi ở giữa.
15	[NAME] Ngẫu nhiên gặp [NAME1] Tại [PLACE1] Bắt đầu bài giảng [IDEA1], huyền diệu bên trong, [NAME] Chỉ cảm thấy Nguyên Thần khẽ động, đã rơi vào luân hồi định cảnh bên trong. Lại tại chỗ chạm đến Thiên Tiên chi cảnh phá quan cơ duyên.\n Định cảnh bên trong chưa phát giác tuế nguyệt, đợi cho lấy lại tinh thần, đã qua số giáp lâu.[NAME] Toàn thân pháp lực đã bị tẩy luyện vì Thiên Tiên chi lực, nhục thân cũng gây dựng lại vì không để lọt Tiên thể. Kinh lịch luân hồi chi cảnh tẩy lễ, quay đầu đã cảm giác chuyện cũ nhạt như bụi mù. Giờ khắc này [NAME] Mới rốt cục hoặc nhiều hoặc ít minh bạch, như thế nào Thiên Tiên chi cảnh, những cái kia phi thăng tổ sư vì sao cũng không tiếp tục người Hồi ở giữa.
16	[NAME] Tại [PLACE1] Cơ duyên xảo hợp tìm được [DAN1], phục dụng về sau, rốt cục cố gắng tiến lên một bước, đụng chạm lấy đột phá Thiên Tiên chi đạo cơ duyên. Khí cơ dẫn động phía dưới, [NAME] Nguyên Thần đã không tự chủ được rơi vào luân hồi định cảnh bên trong.\n Luân hồi chi cảnh trúng đạn chỉ ngàn năm, [NAME] Tại muôn đời trong luân hồi đau khổ chìm nổi, rốt cục bảo trụ một tia chân linh bất diệt, thuận lợi phá quan, đúc thành Thiên Tiên không để lọt chi thể. Đợi cho [NAME] Lại quay đầu lúc, đã cảm giác chuyện cũ như là muôn đời trong luân hồi kinh lịch đồng dạng, mặc dù rõ mồn một trước mắt, nhưng lại nhạt như bụi mù. Lúc này mới rốt cục hoặc nhiều hoặc ít minh bạch như thế nào Thiên Tiên tâm cảnh, những cái kia phi thăng tổ sư vì sao cũng không tiếp tục người Hồi ở giữa.
17	[NAME] Tại [PLACE1] Chợt có nhận thấy, biết nơi đây cùng nó hữu duyên, dễ dàng cho này mở động phủ, lập xuống đạo trường. Trăm năm ở giữa, cũng thu một chút tiên Đồng Linh thú, tụ tập ba năm tiên hữu luận đạo diễn pháp, dần dần đã có thành tựu, động phủ cũng thành nơi đây một phương diệu dụng.
18	[NAME] Du lịch đến [PLACE1] Lúc, vậy mà ở nơi này phát hiện tên là [EVENT1] Thiên địa dị tượng. Vì thể ngộ trong cái này huyền diệu, [NAME] Quyết định tại phụ cận trong hư không mở động phủ, đóng trại.\n Tiên gia bất luận tuổi tác, hơn trăm năm trong nháy mắt liền qua, dần dần có cái khác Tiên gia vì lĩnh hội [EVENT1] Tụ tập ở này, [NAME] Động phủ mượn nhờ địa lợi vậy mà dần dần thành một chỗ đám người giao lưu luận đạo nơi chốn, tự thành một phương khí hậu.
19	[NAME] Tại [PLACE1] Du lịch lúc ngộ nhập [MONSTER1] Chi sào huyệt, nguy nan thời điểm, mấy đi ngang qua tiên hữu thi triển viện thủ, [NAME] Mới rốt cục có thể thi triển hóa thân đào thoát. Qua chiến dịch này, [NAME] Cùng mấy tên tiên hữu mới quen đã thân, đám người một phen tổng cộng, quyết định nơi này mở động phủ, một phương diện tham huyền ngộ đạo, một phương diện cũng có thể nhắc nhở cái khác tiên hữu không được quấy rầy [MONSTER1] Ngủ say, đặt hiểm địa.\n Đảo mắt hơn trăm năm quá khứ, [MONSTER1] Cảm niệm đám người bảo vệ, lại cùng [NAME] Kết thành minh ước. Mượn nhờ [MONSTER1] Chi lực, [NAME] Động phủ cũng rất có khí hậu, trở thành một phương tiên cảnh thánh địa.
20	[NAME] Tại [PLACE1] Du lịch lúc ngẫu nhiên gặp một khác phái tiên hữu, hai người hợp ý vạn phần, liền kết bạn cùng dạo. Nguyên lai hai người đúng là bách thế tình duyên, bây giờ song song nhảy ra luân hồi, tại tiên giới gặp nhau, quả thật Thiên Duyên chú định.\n Mấy năm ở chung phía dưới, đã từng ký ức cũng dần dần khôi phục, hai người thế là lần nữa kết làm đạo lữ, cũng tại lần đầu gặp chi địa mở động phủ, kinh doanh trăm năm, cũng thành tựu một đoạn thần tiên giai thoại.
21	[NAME] Tại tiên giới du lịch thời điểm, cơ duyên xảo hợp cùng [NAME1] Kết thiện duyên, liền thuận thế nhờ bao che tại [NAME1] Môn hạ.[NAME1] Chính là thượng cửu linh thiên giới cổ xưa nhất Đại La Kim Tiên một trong, đạo trận mở tại Thiên Ngoại Thiên hỗn độn bên trong, kỳ thế tự thành một thể, tại thượng cửu linh thiên giới xưng bá một phương.
22	[NAME] Tại tiên giới du lịch thời điểm, có cảm giác tiên giới chịu đủ ma nhiễm tai ương, liền dấn thân vào Thiên Đình dưới trướng mưu đến một phần việc phải làm. Thiên Đình chính là thượng cửu linh thiên giới thiên đạo đại ngôn chi thế lực, phân đất phong hầu chư tiên mỗi người quản lí chức vụ của mình, giữ gìn thiên đạo vận chuyển, cũng vì quét sạch ma nhiễm chủ lực.
23	[NAME] Tại tiên giới du lịch lúc, có cảm giác tiên đạo không bờ, hi vọng đạo hạnh lại lần nữa tinh tiến. Thế là liền tiến về ngoài Tam Thập Tam Thiên, dấn thân vào Đạo Tổ môn hạ, tham huyền ngộ đạo.
24	[NAME] Du lịch tiên giới lúc, vậy mà cơ duyên xảo hợp gặp được bản giới phi thăng tu sĩ, một phen bắt chuyện, nguyên lai bản giới tu sĩ vậy mà tại thượng cửu linh thiên giới tổ kiến một cái liên minh giúp đỡ lẫn nhau.[NAME] Có cảm giác tiên lộ nhiều thăng trầm, liền cũng đồng ý gia nhập cái này một trong liên minh.
25	[NAME] Bỗng nhiên lên niệm, tu hành một thế đã thành tiên đạo, như không thể tiến thêm một bước chứng thành Đại La cảnh giới, chẳng phải là cô phụ đời này tiêu dao? Liền âm thầm lập xuống Đại La ý chí.
26	[NAME] Bỗng nhiên cảm khái, tiên giới cũng không phải vĩnh hằng tiêu dao chi địa, trong đó cũng có nhân quả tính toán, ma nhiễm tranh đấu, tỏa ra chán ghét. Liền âm thầm quyết định từng bước thoát thân nhân quả, cuối cùng nhất định phải cầu thật tiêu dao.
27	[NAME] Bỗng nhiên cảm khái, giữa thiên địa có rất nhiều ảo diệu kỳ quan, cùng nó dây dưa tại nhân quả tranh chấp bên trong, không bằng cầu dò xét tận trong đó huyền bí, quả thật Tiên gia điều thú vị. Liền lên tìm u dò xét mật chi nguyện.
28	[NAME] Bỗng nhiên cảm khái, tiên giới chư Đại La hoành ép một phương thế giới, là bực nào uy phong tiêu dao. Nếu có thể tại tiên giới kêu gọi nhau tập họp tiên hữu, xưng bá một phương, quả thật điều thú vị, phương không phụ thân này tu vi. Liền âm thầm lập xuống xưng bá một phương nguyện vọng.
29	[NAME] Tại [PLACE1] Ngẫu nhiên gặp một tâm Thần Ma nhiễm Tiên gia, một phen tranh đấu hạ, [NAME] Thắng hiểm một bậc, đem ma đầu chém giết.
30	[NAME] Tại [PLACE1] Chợt đối [IDEA1] Rất có lĩnh ngộ, vậy mà từ sáng chế một môn hoàn toàn mới tiên pháp, tu vi tiến nhanh.
31	[NAME] Du lịch tiên giới lúc, lại ngẫu nhiên gặp được [NAME1] Thi triển thần thông tại trong hỗn độn vì vãn bối mở động phủ.[NAME] Gặp [NAME1] Trong lúc giơ tay nhấc chân, Địa Thủy Hỏa Phong cuồn cuộn sôi trào trùng luyện sơn hà, không khỏi tâm trí hướng về.
32	[NAME] Tại [PLACE1] Xem [EVENT1] Có cảm giác, trong lúc nhất thời vậy mà chìm vào định cảnh bên trong. Chờ [NAME] Tỉnh lại, đã qua mấy năm, đạo hạnh vậy mà rất có tinh tiến.
33	[NAME] Dưới cơ duyên xảo hợp, lại tìm được một con [MONSTER1] Con non, thật là cơ duyên to lớn. Cần biết [MONSTER1] Vì thiên địa dị thú, nó trưởng thành sau thần thông không thua Đại La Kim Tiên, như có thể từ nhỏ nuôi lớn, so sánh sẽ trở thành cực đại giúp đỡ.
34	[NAME] Tại tiên giới du lịch lúc, vậy mà gặp được mấy trăm năm trước bản giới phi thăng đồng hương tán tu. Song phương tâm tình đối ẩm, đảo mắt liền mười mấy năm tuế nguyệt.
35	[NAME] Tại tiên giới du lịch lúc, một lần tình cờ gặp được [NAME1] Cùng người luận đạo, lần này luận đạo một luận liền mười mấy năm, [NAME] Dự thính phía dưới, rất có lĩnh ngộ.
36	[NAME] Tại tiên giới du lịch lúc, lại [PLACE1] Tìm được một kiện [DAN1].[NAME] Lấy hình thần tướng chi luyện hóa, triệt để thể ngộ ẩn chứa trong đó huyền diệu, đạo hạnh tiến nhanh.
37	[NAME] Tại tiên giới du lịch lúc, ngẫu nhiên gặp được một cái Tiểu Động Thiên. Một phen thăm dò phía dưới, mới phát hiện nơi đây đúng là vài ngàn năm trước một Thiên Tiên quy tịch chi địa, sớm đã vứt bỏ. Đặt tên này Thiên Tiên kết cục phương nào, sớm đã không người biết được.[NAME] Hơi có cảm khái, từ đó thu hoạch rất nhiều Tiên gia bảo vật, ngược lại rời đi.
38	[NAME] Du lịch tiên giới lúc, bỗng nhiên từ nơi sâu xa linh cảm xúc động, liền phân ra một hóa thân hạ giới, tiếp dẫn một cùng mình rất có duyên phận hậu bối đệ tử trùng nhập tiên đạo.
39	[NAME] Du lịch tiên giới lúc, bỗng nhiên cảm thấy hạ giới đệ tử tế tự chi niệm, liền phân ra hóa thân hạ giới khai đàn giảng đạo.
40	[NAME] Du lịch tiên giới lúc, bỗng nhiên cảm thấy hạ giới đệ tử tế tự chi niệm, liền đem mình tại tiên giới tích lũy một chút vô dụng đồ chơi nhỏ ban thưởng thế gian.
41	[NAME] Du lịch tiên giới lúc, tại [PLACE1] Ngẫu nhiên gặp một tiên hữu. Hai người vậy mà không hiểu hợp ý, tâm tình hồi lâu, thậm chí bày xuống thế cuộc tiến hành một vòng đánh cờ. Tiên gia không biết tuế nguyệt, đánh cờ kết thúc lúc, vậy mà đã qua ngàn năm lâu.
42	[NAME] Du lịch tiên giới lúc, ngẫu nhiên đi vào [PLACE1], chợt cảm thấy nơi đây Tiên gia cảnh trí huyền bí, tán thưởng không thôi.[NAME] Một phen suy tư, dứt khoát quyết định ở đây ở một chút thời đại.
43	[NAME] Du lịch tiên giới lúc, tại [PLACE1] Gặp được [NAME1] Xây dựng Tiên gia yến ẩm, mời quần tiên uống rượu luận đạo. Yến hội một xử lý liền trải qua nhiều năm, chúng tiên nâng ly quỳnh tương, lớn đạm tiên quả, tận hứng mà về.
44	[NAME] Du lịch tiên giới lúc, bỗng cảm thấy buồn ngủ. Dễ dàng cho [PLACE1] Tìm kiếm một chỗ thắng địa xúc động ngủ, tỉnh lại sau giấc ngủ, đã trăm năm.
45	[NAME] Du lịch tiên giới lúc, cùng người đối ẩm mộng sinh rượu mà say, đợi cho tỉnh rượu, đã là mười mấy năm.
46	[NAME] Tại [PLACE1] Du lịch lúc, đúng lúc gặp tiên giới chúng linh kiếp bộc phát.[NAME] Đạo hạnh tinh thâm, vận chuyển tiên lực thần thông, thuận lợi vượt qua này khó. Đạo hạnh lại hơi có tinh tiến.
47	[NAME] Tại [PLACE1] Ngẫu nhiên gặp một tiên hữu, hai người mới quen đã thân, vậy mà đối với tu hành một đạo không hiểu phù hợp. Vì xác minh huyền diệu, [NAME] Cùng tiên hữu định ra trăm năm đấu pháp chi cục, song phương cùng thi triển thần thông, bổ sung lẫn nhau lấy, không riêng hai người đều có lĩnh ngộ. Trăm năm góc nhìn người vây xem cũng thu hoạch không cạn, vậy mà truyền vì một đoạn giai thoại.
48	[NAME] Tâm huyết dâng trào, đột nhiên muốn luyện chế một thanh Tiên gia pháp khí. Nhưng mà tối hậu quan đầu, lại thiếu khuyết một tia đạo uẩn, cuối cùng chưa thể thành dụng cụ.[NAME] Cảm thấy tiếc nuối, tiện tay đem luyện chế thất bại bảo vật ban cho thế gian đồ tôn.
