ItemName	Descript
Item_Dan_IncreaseLife3	Bình Trang,Diên Thọ,Đạm Hoàng Sắc
Item_Dan_IncreaseLife4	Hồ Lô Trang,Diên Thọ,Lam Sắc
Item_Dan_Ling2	Tử Sắc,Cầu Hình,Căn Cơ
Item_Dan_IncreaseLife5	Lam Sắc,Cầu Hình,Thiên Kiếp
Item_Dan_IncreaseNeckCountdown1	Hồ Lô,Hồng Sắc,Thiên Kiếp
Item_ParasolWood	Mộc,Kiên Ngạnh,Linh Vật
Item_Dan_PracticeSpeed	Hỏa,Tốc Độ,Bình Trang
Item_Dan_Defense	Hộ Thể,Cầu Hình,Chanh Sắc
Item_CopperBlock1	Phương,Hỏa,Linh Vật
Item_Dan_CureHuoDamage	Cầu Hình,Liệu Thương,Tử Sắc
Item_Dan_CureTuDamage	Cầu Hình,Liệu Thương,Chanh Sắc
Item_Dan_CureShuiDamage	Phấn Mạt,Thủy,Lam Sắc
Item_Dan_CureMuDamage	Cầu Hình,Thanh Sắc,Liệu Thương
Item_Dan_CureFiveElementDamage	Bình Trang,Liệu Thương,Chanh Sắc
Item_EarthEssence_1	Hồ Lô Trang,Lam Sắc,Liệu Thương
Item_Dan_FiveBaseFromLife	Cầu Hình,Tử Sắc,Chiết Thọ
Item_Dan_DredgeQi	Bình Trang,Liệu Thương,Thổ
Item_RedGinseng	Căn Hành,Hồng Sắc,Căn Cơ
Item_LingWood	Mộc Đầu,Lam Sắc,Linh Vật
Item_HardWood	Mộc Đầu,Hoàng Sắc
Item_Dan_PracticeRate	Tiểu Khỏa Lạp,Kim,Bình Cảnh
Item_Dan_IncreaseLife1	Diên Thọ,Hồ Lô Trang,Mộc
Item_Dan_IncreaseLife2	Diên Thọ,Phấn Mạt,Thủy
Item_BasePracticeDrug	Ngũ Duy,Bình Trang,Thủy
Item_LingMuXueJie	Tinh Nguyên,Phấn Mạt,Lam Sắc
Item_Dan_CalmDown	Tâm Cảnh,Tiểu Khỏa Lạp,Lam Sắc
Item_Dan_Happiness	Hạt Sắc,Tâm Cảnh,Tiểu Khỏa Lạp
