ID	Des	Disname
		
-1	Mô tổ mất đi	Mô tổ mất đi
1	Đem một chút ngự khí chi đạo bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Thô thiển
2	Đem khá nhiều ngự khí chi đạo bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Tinh thâm
3	Đem một chút thuật pháp chi đạo bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Thô thiển
4	Đem khá nhiều thuật pháp chi đạo bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Tinh thâm
5	Đem một chút hộ thể chi đạo bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Thô thiển
6	Đem khá nhiều hộ thể chi đạo bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Tinh thâm
7	Đem một chút luyện đan chi đạo bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Thô thiển
8	Đem khá nhiều luyện đan chi đạo bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Tinh thâm
9	Đem một chút con đường luyện khí bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Thô thiển
10	Đem khá nhiều con đường luyện khí bên trên cảm ngộ ký thác nơi này vật phía trên.	Đại đạo chi ngộ: Tinh thâm
11	Đem một bản cấp độ nhập môn ngự khí chi đạo bí tịch ký thác nơi này vật phía trên.	Bí tịch chi ngộ:[TXT]
12	Đem một bản tiến giai cấp ngự khí chi đạo bí tịch ký thác nơi này vật phía trên.	Bí tịch chi ngộ:[TXT]
13	Đem một bản tinh diệu cấp ngự khí chi đạo bí tịch ký thác nơi này vật phía trên.	Bí tịch chi ngộ:[TXT]
14	Đem một bản huyền diệu cấp ngự khí chi đạo bí tịch ký thác nơi này vật phía trên.	Bí tịch chi ngộ:[TXT]
15	Đem một bản cấp độ nhập môn thuật pháp chi đạo bí tịch ký thác nơi này vật phía trên.	Bí tịch chi ngộ:[TXT]
16	Đem một bản tiến giai cấp thuật pháp chi đạo bí tịch ký thác nơi này vật phía trên.	Bí tịch chi ngộ:[TXT]
17	Đem một bản tinh diệu cấp thuật pháp chi đạo bí tịch ký thác nơi này vật phía trên.	Bí tịch chi ngộ:[TXT]
18	Đem một bản huyền diệu cấp thuật pháp chi đạo bí tịch ký thác nơi này vật phía trên.	Bí tịch chi ngộ:[TXT]
19	Đem một bản cấp độ nhập môn hộ thể chi đạo bí tịch ký thác nơi này vật phía trên.	Bí tịch chi ngộ:[TXT]
