Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数	文本参数
God_Quanhua_LikeItem	0	Ngươi như thế thích [TXT], vì đó vui, vì đó sầu. Nhưng tu hành một thế, chấp nhất tại những này vật ngoài thân thì có ý nghĩa gì chứ?	Ngươi có phiền hay không......?	Ta cũng có đồng cảm a![TXT] Đạt được sau thường thường nương theo trống rỗng, xác thực không có ý gì. Ta nguyện đi theo ngươi, tìm kiếm tu hành chân chính ý nghĩa.	Đương nhiên là có ý nghĩa, còn sống không thích [TXT], cùng cá ướp muối khác nhau ở chỗ nào.		
God_Quanhua_HateItem	0	Ngươi như thế chán ghét [TXT], [TXT] Lại cùng ngươi có liên can gì? Tu hành một thế, chấp nhất tại những này vật ngoài thân thì có ý nghĩa gì chứ?	Ngươi có phiền hay không......?	Xác thực a, ta chán ghét [TXT], [TXT] Lại tại chỗ đó, không tăng không giảm. Cái này chẳng phải là lãng phí chính ta sinh mệnh? Nguyện đi theo ngươi, tìm kiếm tu hành chân chính ý nghĩa.	Đương nhiên là có ý nghĩa, [TXT] Là thật làm người ta sinh chán ghét, ta muốn hủy đi toàn thế giới [TXT] Mới không uổng công đời này!		
God_Quanhua_Feature	0	Ngươi làm người [TXT], thường thường lâm nguy nhiễu nơi này. Ngươi suy nghĩ một chút ngươi tu hành một thế, liền cái này đều không thể chưởng khống, lại có cái gì mặt mũi đàm mình là người tu hành?	Ngươi có phiền hay không......?	! Ngươi nói đúng... Ngay cả mình đều không thể chưởng khống, nói chuyện gì tu hành? Ta nguyện đi theo ngươi, tìm kiếm tu hành chân chính ý nghĩa.	Liên quan gì đến ngươi? Ta chính là [TXT], đây là ta tồn tại tiêu ký một trong, không có gì không tốt!		
God_Quanhua_Hobby	0	Ngươi cả đời bị khốn tại cái này [TXT], cả ngày vì thế tiêu hao tinh thần, làm sao khổ đến quá thay? Trùng nhập luân hồi hết thảy giai không, tu hành một thế đồ tốn tại những này việc vặt vãnh bên trên, lại như thế nào siêu thoát?	Ngươi có phiền hay không......?	! Ngươi nói đúng... Thế nhưng là này [TXT] Bối rối ta hồi lâu, không cách nào giải thoát! Ta cũng rất buồn rầu. Ta nguyện đi theo ngươi, nguyện có thể thoát khỏi những này bao phục, tìm kiếm tu hành chân chính ý nghĩa.	Liên quan gì đến ngươi? Đây là chuyện của ta, không nhọc hao tâm tổn trí!		
God_Quanhua_Esoterica	0	Ngươi tự đắc tại [TXT], nhưng cái này có thể để ngươi trường sinh a, những này hư danh đối ngươi tu hành lại có chỗ tốt gì? Trùng nhập luân hồi hết thảy giai không, tu hành một thế đồ tốn tại những này việc vặt vãnh bên trên, lại như thế nào siêu thoát?	Ngươi có phiền hay không......?	! Ngươi nói đúng... Trì hoãn tại [TXT], ta tu vi hồi lâu chưa tiến bộ. Ta nguyện đi theo ngươi, tìm kiếm tu hành chân chính ý nghĩa.	Đương nhiên! Nếu như không có [TXT], ta làm sao có thể có hôm nay? Ngươi người này nói thật là kỳ quái.		
God_Quanhua_Secret	0	Ngươi trông coi liên quan tới [TXT] Sự tình, tự cho là bí ẩn. Nhưng là những chuyện này thật trọng yếu như vậy a? Người tu hành, tu hành siêu thoát mới là chính đạo a!	Ngươi có phiền hay không......?	! Ngươi nói đúng a... Trì hoãn tại cái này [TXT], hư hao tổn ta rất nhiều tâm thần, tu vi càng là lâm nguy. Ta nguyện đi theo ngươi, tìm kiếm tu hành chân chính ý nghĩa.	Ngươi đang nói cái gì a, nếu như tu hành một thế chỉ vì siêu thoát, cái kia còn có ý gì, ta còn không bằng không vào tu hành!		
God_Quanhua_Carry	0	Ngươi xem một chút ngươi mang theo [TXT] Chờ những đồ chơi này, tại thiên đạo phía dưới, chúng ta cũng như những này tạp vật. Người tu hành, tu hành siêu thoát mới là chính đạo a!	Ngươi có phiền hay không......?	! Đúng vậy a, không biết lúc nào, đột nhiên bắt đầu say đắm ở những này vật ngoài thân, lại chậm trễ tu hành, thật sự là bỏ gốc lấy ngọn. Ta nguyện đi theo ngươi, tìm kiếm tu hành chân chính ý nghĩa.	Ngươi sẽ không ngấp nghé ta [TXT] Đi? Đi xa một chút!		
God_Quanhua_None	0	Chỉ cần đi theo tại ta, liền có thể truy cầu đại đạo, vĩnh hưởng tự tại!	Ngươi có phiền hay không......?	Ngươi sợ không phải thạch vui chí.	Đầu óc ngươi không có vấn đề đi? Ta vì sao muốn đi theo ngươi?		
God_Quanhua_Track	0	( Không cách nào sử dụng này tin tức khuyến thiện.)	......	......	......		
