ID	Desc
	描述
1	[size=14]Gian phòng người sở hữu đều là phàm nhân[/size]
2	[size=14]Gian phòng người sở hữu đều là luyện khí[/size]
3	[size=14]Gian phòng người sở hữu đều là Kết Đan[/size]
4	[size=14]Gian phòng người sở hữu đều là Kim Đan[/size]
5	[size=14]Gian phòng người sở hữu đều là Nguyên Thần[/size]
6	[size=14]Gian phòng người sở hữu đều là tại thế Chân Tiên[/size]
7	[size=14]Gian phòng người sở hữu đều là nội môn đệ tử[/size]
8	[size=14]Gian phòng người sở hữu đều là ngoại môn đệ tử[/size]
9	[size=14]Gian phòng người sở hữu đều là khách tới thăm[/size]
10	[size=14]Gian phòng người sở hữu đều là 30 Tuổi trở lên[/size]
11	[size=14]Gian phòng người sở hữu đều là 90 Tuổi trở lên[/size]
12	[size=14]Gian phòng người sở hữu đều là 270 Tuổi trở lên[/size]
13	[size=14]Gian phòng người sở hữu đều là 810 Tuổi trở lên[/size]
14	[size=14]Gian phòng người sở hữu đều là 2430 Tuổi trở lên[/size]
15	[size=14]Gian phòng người sở hữu đều là 30 Tuổi trở xuống[/size]
16	[size=14]Gian phòng người sở hữu đều là 90 Tuổi trở xuống[/size]
17	[size=14]Gian phòng người sở hữu đều là 270 Tuổi trở xuống[/size]
18	[size=14]Gian phòng người sở hữu đều là 810 Tuổi trở xuống[/size]
19	[size=14]Gian phòng người sở hữu đều là 2430 Tuổi trở xuống[/size]
20	[size=14]Gian phòng người sở hữu tổng nhỏ tuổi tại 100 Tuổi[/size]
21	[size=14]Gian phòng người sở hữu tổng nhỏ tuổi tại 200 Tuổi[/size]
22	[size=14]Gian phòng người sở hữu tổng nhỏ tuổi tại 500 Tuổi[/size]
23	[size=14]Gian phòng người sở hữu tổng nhỏ tuổi tại 1000 Tuổi[/size]
24	[size=14]Gian phòng người sở hữu tổng tuổi tác lớn tại 500 Tuổi[/size]
25	[size=14]Gian phòng người sở hữu tổng tuổi tác lớn tại 1000 Tuổi[/size]
26	[size=14]Gian phòng người sở hữu tổng tuổi tác lớn tại 2000 Tuổi[/size]
27	[size=14]Gian phòng người sở hữu tổng tuổi tác lớn tại 4000 Tuổi[/size]
28	[size=14]Gian phòng người sở hữu đều là nam tử[/size]
29	[size=14]Gian phòng người sở hữu đều là nữ tử[/size]
30	[size=14]Gian phòng người sở hữu nam nữ đều có[/size]
31	[size=14]Gian phòng thuộc về 1 Người[/size]
32	[size=14]Gian phòng thuộc về 2 Người[/size]
33	[size=14]Gian phòng thuộc về 3 Người[/size]
34	[size=14]Gian phòng thuộc về người không nhỏ hơn 3 Người[/size]
35	[size=14]Gian phòng thuộc về người không nhỏ hơn 5 Người[/size]
36	[size=14]Gian phòng thuộc về người không cao hơn 3 Người[/size]
37	[size=14]Gian phòng thuộc về người không cao hơn 5 Người[/size]
38	[size=14]Gian phòng bên trong chí ít có 1 Cái giường[/size]
39	[size=14]Gian phòng bên trong chí ít có 2 Cái giường[/size]
40	[size=14]Gian phòng bên trong chí ít có 3 Cái giường[/size]
41	[size=14]Gian phòng bên trong có tối đa nhất 1 Cái giường[/size]
42	[size=14]Gian phòng bên trong có tối đa nhất 2 Cái giường[/size]
43	[size=14]Gian phòng bên trong có tối đa nhất 3 Cái giường[/size]
44	[size=14]Gian phòng bên trong chí ít có 1 Cái giường đôi[/size]
45	[size=14]Gian phòng bên trong chí ít có 1 Cái chiếu sáng công trình[/size]
46	[size=14]Gian phòng bên trong chí ít có 2 Cái chiếu sáng công trình[/size]
47	[size=14]Gian phòng bên trong chí ít có 3 Cái chiếu sáng công trình[/size]
48	[size=14]Gian phòng bên trong có tối đa nhất 1 Cái chiếu sáng công trình[/size]
49	[size=14]Gian phòng bên trong có tối đa nhất 2 Cái chiếu sáng công trình[/size]
50	[size=14]Gian phòng bên trong có tối đa nhất 3 Cái chiếu sáng công trình[/size]
51	[size=14]Gian phòng bên trong chí ít có 1 Cái vạc nước[/size]
52	[size=14]Gian phòng bên trong chí ít có 1 Phiến bình phong[/size]
53	[size=14]Gian phòng bên trong chí ít có 1 Tòa pho tượng[/size]
54	[size=14]Gian phòng bên trong chí ít có 1 Tôn đỉnh[/size]
55	[size=14]Gian phòng bên trong chí ít có 1 Tòa lư hương[/size]
56	[size=14]Gian phòng bên trong chí ít có 1 Cái bồn hoa[/size]
57	[size=14]Gian phòng bên trong chí ít có 1 Mặt cờ xí[/size]
58	[size=14]Gian phòng bên trong chí ít có 1 Cái giá sách[/size]
59	[size=14]Gian phòng bên trong chí ít có 1 Ngôi mộ[/size]
60	[size=14]Gian phòng bên trong chí ít có 2 Cái vạc nước[/size]
61	[size=14]Gian phòng bên trong chí ít có 2 Phiến bình phong[/size]
62	[size=14]Gian phòng bên trong chí ít có 2 Tòa pho tượng[/size]
63	[size=14]Gian phòng bên trong chí ít có 2 Tôn đỉnh[/size]
64	[size=14]Gian phòng bên trong chí ít có 2 Tòa lư hương[/size]
65	[size=14]Gian phòng bên trong chí ít có 2 Cái bồn hoa[/size]
66	[size=14]Gian phòng bên trong chí ít có 2 Mặt cờ xí[/size]
67	[size=14]Gian phòng bên trong chí ít có 2 Cái giá sách[/size]
68	[size=14]Gian phòng bên trong không thể có thuỷ vực[/size]
69	[size=14]Gian phòng bên trong chí ít có 1 Phiến thuỷ vực[/size]
70	[size=14]Gian phòng bên trong chí ít có 1 Phiến Linh địa[/size]
71	[size=14]Gian phòng bên trong không thể có lục địa[/size]
72	[size=14]Gian phòng bên trong chí ít có 1 Cái kiến trúc đối trấn vật Ngũ Hành tương sinh[/size]
73	[size=14]Gian phòng bên trong chí ít có 2 Cái kiến trúc đối trấn vật Ngũ Hành tương sinh[/size]
