ID	Name	Desc	MapStory	DoLua	Default	Condition1	Point1	UnLock1	Condition2	Point2	UnLock2	Condition3	Point3	UnLock3	Condition4	Point4	UnLock4
	标题	介绍	解锁触发的mapstory		默认线索	条件1 动机|参与者|证据 条件的判断从左往右依次	指向1	解锁内容 隐秘|角色|线索									
1	Thần Bí Thân Ảnh	Diệt môn chi dạ đã qua mấy tháng, tại một lần về Thái Nhất di tích điều tra lúc, ngươi vậy mà tại phát hiện một thần bí thân ảnh. Từ xa nhìn lại, người này vậy mà tựa như Tê Hà động thiên trưởng lão trăng thanh sầu. Người này tại thời gian này tận lực xuất hiện nơi này tuyệt không bình thường, chẳng lẽ nàng biết chút ít cái gì?				1|2|3,4,5	100	2||14									
2	Diệt Môn Chi Mê	Mặc dù đã điều tra rõ Bách Man Sơn có đệ tử vì cái nào đó bảo vật mà tham dự diệt môn chi dạ. Nhưng Thái Nhất Môn chỉ là vùng đông nam thùy một cái trung đẳng môn phái, một nghèo hai trắng, đến cùng là bảo bối gì vậy mà để Bách Man Sơn không tiếc xuất động tinh nhuệ đến diệt phái đoạt bảo? Đây hết thảy vẫn cần tiếp tục điều tra.			|14|	6|14|	101	3,500||	6,7,8,9|14,15,16,17|22,23,24	102	4,500||	6,10|14,18|25	103	5,500||	6,7,8,9,10,11,12,13|14,15,16,17,18,19,20,21|22,23,24,25,26,27,28,29	104	6,500||
3	Vãng Nhật Bí Tân	Trải qua một phen điều tra, hết thảy hết thảy tựa hồ là bởi vì Thái Nhất Môn có một kiện thượng cổ chí bảo càn khôn giới, lúc này mới khiến cho Bách Man Sơn ngấp nghé, dẫn tới họa diệt môn. Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, một mực căn nhà nhỏ bé vùng đông nam thùy, tại sao lại có như thế trọng bảo? Đây hết thảy tựa hồ không như trong tưởng tượng đơn giản như vậy.				30,40|31|32	105										
4	Vãng Nhật Bí Tân	Trải qua một phen điều tra, tựa hồ là bởi vì Hợp Hoan phái, Thất Sát Ma Cung, bảy thiên ổ cái này tam đại tà phái đối Thái Nhất Môn có một loại nào đó không hiểu cừu hận, lúc này mới âm thầm tiết lộ Thái Nhất Môn có trọng bảo tin tức cho Bách Man Sơn, khiến cho Bách Man Sơn ngấp nghé chí bảo càn khôn giới, vì Thái Nhất Môn mang đến họa diệt môn. Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, một mực căn nhà nhỏ bé vùng đông nam thùy, tam đại tà phái đều là truyền thừa từ thượng cổ già môn phái, cừu hận này từ đâu mà đến đâu? Đây hết thảy tựa hồ không như trong tưởng tượng đơn giản như vậy.			|37|	33,34,35,36,40|37|32	106										
5	Vãng Nhật Bí Tân	Trải qua một phen điều tra, ngươi kinh ngạc phát hiện Bách Man Sơn cũng không phải là duy nhất người tham dự, ngày đó bố trí tuyệt rồng trận đại năng vậy mà đến từ Tử Tiêu tông. Cùng Bách Man Sơn ham bảo vật khác biệt, Tử Tiêu tông động cơ càng khiến người ta khó hiểu, bọn hắn tựa hồ đối với Thái Nhất Môn có một loại âm thầm sợ hãi cùng kiêng kị, cử động lần này càng giống là mượn Bách Man Sơn danh nghĩa thực hành một loại nào đó phòng ngừa rắc rối có thể xuất hiện cử động. Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, một mực căn nhà nhỏ bé vùng đông nam thùy, Tử Tiêu tông chính là truyền thừa từ thượng cổ đại phái, cái này âm thầm sợ hãi cùng kiêng kị là từ đâu mà đến đâu? Đây hết thảy tựa hồ không như trong tưởng tượng đơn giản như vậy.			|39|	38,40|39|32	107										
6	Vãng Nhật Bí Tân	Truy tra phía dưới, ngươi phát hiện việc này đã vượt xa khỏi dự liệu của ngươi. Bách Man Sơn cũng không phải là duy nhất người tham dự, ngày đó bố trí tuyệt rồng trận đại năng vậy mà đến từ Tử Tiêu tông, mà càng khiến người ta chấn kinh chính là, hai môn phái này phía sau, lại còn có Hợp Hoan phái, Thất Sát Ma Cung, bảy thiên ổ, đan hà động thiên, Côn Luân cung, Tử Tiêu tông chính tà lục đại phái thân ảnh trong bóng tối trợ giúp! Ngoại trừ bên ngoài Bách Man Sơn là đơn thuần vì bảo vật, cái khác giấu tại phía sau màn các phái đối Thái Nhất Môn thái độ vậy mà đều có vi diệu: Tam đại tà phái tựa hồ đối với Thái Nhất Môn có một loại nào đó cừu hận, tứ đại chính phái thì là một loại nào đó sợ hãi cùng kiêng kị. Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, một mực căn nhà nhỏ bé vùng đông nam thùy, trừ Bách Man Sơn bên ngoài bảy phái chính là truyền thừa từ thượng cổ đại phái, loại này không hiểu thái độ thật là khiến người khó hiểu. Nhưng bất kể như thế nào, cái này hiển nhiên sẽ không là cái gì đơn giản yêu hận tình cừu có khả năng giải thích, phía sau thế tất có càng sâu tầng bí mật mới đối.			|42|	40,41|42|32	108	7||									
7	Thiên Cổ Nhất Đế	Bây giờ, hết thảy bí ẩn chỉ hướng năm đó Đông Hoàng cung mạt đại chưởng giáo, đáng tiếc Đông Hoàng cung mạt đại chưởng giáo đã sớm bị đám người vây công vẫn lạc, liên quan tới hắn hết thảy đều đã chôn vùi, không thể nào nói tới. Ngươi cảm giác khoảng cách thật giống chỉ có cách xa một bước, đồng thời ẩn ẩn có một cái dự cảm, hết thảy đều sẽ tại điểm xuất phát đạt được giải đáp. Lắc thần chi ở giữa, Tiểu Càn Khôn Giới đột nhiên nổi lên trong lòng......															
100	Thần Bí Thân Ảnh	Theo Tê Hà động thiên trưởng lão trăng thanh sầu nói tới, hôm đó muốn hướng hải ngoại làm việc, gặp trăng tròn núi ánh lửa ngút trời, liền tới xem xét, lại phát hiện phương viên trăm dặm đã bị bày ra tuyệt rồng trận, không được đến gần, mà mình cũng có việc quấn thân, liền rời đi. Chỉ là xa xa thấy được đầy trời kim quang, chính là Bách Man Sơn bách độc kim tằm chi pháp. Mà đủ loại manh mối cũng cho thấy, tại Thái Nhất Môn diệt môn trước sau, Bách Man Sơn xác thực mưu đồ từ cái nào đó môn phái trong tay cướp đoạt bảo vật gì. Như thế xem ra, Bách Man Sơn cùng việc này thoát không ra liên quan, xác nhận bước kế tiếp truy tra đột phá khẩu.															
101	Diệt Môn Chi Mê	Truy tra phía dưới, ngươi phát hiện Thái Nhất Môn tựa hồ cất giữ có một kiện tên là càn khôn giới chí bảo, vật này vậy mà việc quan hệ tương lai thiên địa đại kiếp một chút hi vọng sống. Thất phu vô tội hoài bích kỳ tội, cái này nên liền Thái Nhất Môn dẫn Bách Man Sơn bực này Ma giáo đại phái ngấp nghé, mang đến họa diệt môn nguyên nhân. Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, một mực căn nhà nhỏ bé vùng đông nam thùy, tại sao lại có như thế trọng bảo? Đây hết thảy tựa hồ không như trong tưởng tượng đơn giản như vậy.		WorldLua:SetWorldFlag(94,1)													
102	Diệt Môn Chi Mê	Truy tra phía dưới, ngươi phát hiện Bách Man Sơn đồ diệt Thái Nhất, mặt ngoài tựa hồ là vì một kiện tên là càn khôn giới chí bảo. Nhưng việc này phía sau vậy mà mơ hồ có Hợp Hoan phái, Thất Sát Ma Cung, bảy thiên ổ trợ giúp thân ảnh. Tiến một bước điều tra, ngươi phát hiện cái này giấu ở sau lưng ba phái động cơ thập phần vi diệu, cùng Bách Man Sơn ham bảo vật khác biệt, bọn hắn tựa hồ cùng Thái Nhất Môn có cừu hận thấu xương, chính là bởi vì cái này một cừu hận, mới thúc đẩy tam đại tà giáo liên thủ thôi động Bách Man Sơn xuất thủ tiêu diệt Thái Nhất.\n Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, một mực căn nhà nhỏ bé vùng đông nam thùy, tam đại tà phái đều là truyền thừa từ thượng cổ già môn phái, cừu hận này từ đâu mà đến đâu? Đây hết thảy tựa hồ không như trong tưởng tượng đơn giản như vậy.		WorldLua:SetWorldFlag(94,1)													
103	Diệt Môn Chi Mê	Truy tra phía dưới, ngươi phát hiện Bách Man Sơn đồ diệt Thái Nhất, tựa hồ là vì một kiện tên là càn khôn giới chí bảo. Nhưng việc này kém xa mặt ngoài đơn giản như vậy, căn cứ Bách Man Sơn đại năng bạch chỉ lời nói, ngày đó bày ra tuyệt rồng trận cái khác mấy tên đại năng vậy mà xuất từ Tử Tiêu tông! Nói cách khác, hành động lần này chính là Bách Man Sơn cùng Tử Tiêu tông cái này một tà nghiêm hai đại môn phái liên hợp hành động. Tiến một bước truy tra bên trong, ngươi phát hiện Tử Tiêu tông động cơ thập phần vi diệu, cùng Bách Man Sơn ham bảo vật khác biệt, Tử Tiêu tông tựa hồ đối với Thái Nhất Môn có một loại âm thầm sợ hãi cùng kiêng kị, bọn hắn tham dự hành động lần này càng giống là một loại nào đó trảm thảo trừ căn phòng hoạn chưa xảy ra cử động. Nhưng Thái Nhất Môn chỉ là gần trăm năm nay mới thành lập một cái tiểu môn phái, một mực căn nhà nhỏ bé vùng đông nam thùy, Tử Tiêu tông chính là truyền thừa từ thượng cổ đại phái, cái này âm thầm sợ hãi cùng kiêng kị là từ đâu mà đến đâu? Đây hết thảy tựa hồ không như trong tưởng tượng đơn giản như vậy.		WorldLua:SetWorldFlag(94,1)													
