Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数(SECRET为事件ID)	文本参数		
									
Chat_Place_WuDang_JinDing	0	Nơi đây có cái gì kì lạ loài cá?	Nghe nói kề bên này trong mây có một loại con cua, bọn chúng chỉ ở mùa hè ẩn hiện.						
Chat_Place_WuDang_NanYanGong	0	Nơi đây có cái gì kì lạ loài cá?	Nghe nói kề bên này trong mây có một loại con cua, bọn chúng chỉ ở mùa hè ẩn hiện.						
Chat_Place_WuDang_ZiXiaoGong	0	Nơi đây có cái gì kì lạ loài cá?	Nghe nói kề bên này trong mây có một loại con cua, bọn chúng chỉ ở mùa hè ẩn hiện.						
Chat_Place_WuDang_Taizipo	0	Nơi đây có cái gì kì lạ loài cá?	Nghe nói kề bên này trong mây có một loại con cua, bọn chúng chỉ ở mùa hè ẩn hiện.						
Chat_Place_WuDang_JinDing	0	Nơi đây có cái gì kì lạ loài cá?	Nghe nói kề bên này trong mây có một loại con cua, bọn chúng chỉ ăn Kim thuộc tính vật phẩm.						
Chat_Place_WuDang_NanYanGong	0	Nơi đây có cái gì kì lạ loài cá?	Nghe nói kề bên này trong mây có một loại con cua, bọn chúng chỉ ăn Kim thuộc tính vật phẩm.						
Chat_Place_WuDang_ZiXiaoGong	0	Nơi đây có cái gì kì lạ loài cá?	Nghe nói kề bên này trong mây có một loại con cua, bọn chúng chỉ ăn Kim thuộc tính vật phẩm.						
Chat_Place_WuDang_Taizipo	0	Nơi đây có cái gì kì lạ loài cá?	Nghe nói kề bên này trong mây có một loại con cua, bọn chúng chỉ ăn Kim thuộc tính vật phẩm.						
Chat_Place_WuDang_JinDing	0	Nơi đây có cái gì kì lạ loài cá?	Chú ý nhìn kề bên này trong mây, có một loại màu đen cá đang du động, bất quá ban ngày nhưng nhìn không gặp.						
Chat_Place_WuDang_NanYanGong	0	Nơi đây có cái gì kì lạ loài cá?	Chú ý nhìn kề bên này trong mây, có một loại màu đen cá đang du động, bất quá ban ngày nhưng nhìn không gặp.						
Chat_Place_WuDang_ZiXiaoGong	0	Nơi đây có cái gì kì lạ loài cá?	Chú ý nhìn kề bên này trong mây, có một loại màu đen cá đang du động, bất quá ban ngày nhưng nhìn không gặp.						
Chat_Place_WuDang_Taizipo	0	Nơi đây có cái gì kì lạ loài cá?	Chú ý nhìn kề bên này trong mây, có một loại màu đen cá đang du động, bất quá ban ngày nhưng nhìn không gặp.						
