ID	Name	Desc	sParam1	sParam2
ID	名字	介绍	(天气:s天气类型)  (进攻:进攻富有等级) (妖兽:妖兽种族) (宝物:物品类型lable 权重:ID|ID.)  (角色:数据名字) (秘闻:随机秘闻ID|ID) (路人：行为描述)(动物进攻：种族)（精怪来临：精怪类型）	(路人：附加标记)（精怪来临：具体名称  用|隔开。必须要有种族）
1	Trời nắng	Thời tiết biến mười phần sáng sủa, không biết cái này thời tiết tốt sẽ kéo dài bao lâu.	SunnyDay	
2	Trời đầy mây	Bầu trời biến âm u, không biết cái này trời đầy mây sẽ kéo dài bao lâu.	Overcast	
3	Mưa nhỏ	Một cơn mưa nhỏ tiến đến.	LightRain	
4	Mưa to	Một trận mưa lớn tiến đến.	HeavyRain	
5	Sương mù	Đột nhiên lên một trận sương mù.	DenseFog	
6	Vẻ u sầu tràn ngập	Một trận không hiểu vẻ u sầu ở bên trong môn phái lan tràn ra.	Melancholy	
7	Mập mờ khí tức	Một cỗ mập mờ khí tức ở bên trong môn phái lan tràn ra.	Ambiguous	
8	Táo bạo chi phong	Một cỗ táo bạo tập tục đột nhiên ở bên trong môn phái lan tràn.	Impetuous	
9	Mưa đá	Một trận mưa đá đánh tới.( Chưa thực trang )	Impetuous	
10	Mưa dầm	Một trận mưa dầm tiến đến.	MouldRains	
11	Khô hạn	Một trận khô hạn tiến đến.	Drought	
12	Mưa to	Một trận mãnh liệt bão tố đánh tới, giữa thiên địa Thủy thuộc tính dị thường sinh động.	Rainstorm	
13	Gió phơn	Một trận nóng bức gió phơn phá đến, giữa thiên địa Hỏa thuộc tính dị thường sinh động.	Fohn	
14	Bão cát	Một trận bão cát cuốn tới, giữa thiên địa Thổ thuộc tính dị thường sinh động.	DustStorm	
15	Linh khí khô triều	Không biết nguyên nhân gì, linh khí trong thiên địa tiến vào ngắn ngủi cơn sóng nhỏ.	LingRarefiedWave	
16	Nóng bức	Nóng bức tiến đến, cái này mùa hè sẽ phá lệ nóng bức, chú ý nghỉ mát.	HeatWave	
17	Lẫm đông	Lẫm đông sắp tới, mùa đông này sẽ cách ngoại hàn lãnh, chú ý giữ ấm.	ColdWave	
18	Vĩnh Dạ	Một cỗ yêu vân che khuất bầu trời, đem tiếp tục một đoạn thời gian không gặp ánh nắng.	PermanentNight	
19	Ôn khí	Một trận chướng khí bao phủ toàn bộ địa khu, giữa thiên địa Mộc thuộc tính dị thường sinh động.	Miasma	
20	Lôi bạo	Một trận lôi bạo giáng lâm, giữa thiên địa Kim thuộc tính dị thường sinh động.	LightningStorm	
21	Yêu thú	Một con phỉ xuất hiện tại phụ cận, mang đến tiếp tục mưa dầm cùng tật bệnh.	Fei	
22	Yêu thú	Một con Lộc Thục xuất hiện tại phụ cận, mang đến sáng sủa thời tiết cùng tường thụy chi không khí.	Lushu	
23	Kỳ quái tiểu yêu tinh	Một đám đến từ dị giới tiểu yêu mang theo đến một chút tài bảo bốn phía du đãng, đi ngang qua môn phái của ngươi. Những này tiểu yêu mặc dù mười phần nhát gan, nhưng tựa hồ là lưỡng giới pháp tắc khác biệt, tu tiên giới thường dùng thủ đoạn không cách nào ảnh hưởng đến bọn chúng, bởi vậy bọn gia hỏa này thường thường không chút kiêng kỵ bốn phía du đãng. Như nghĩ từ trong tay bọn họ đạt được những bảo vật này, còn cần nghĩ một chút biện pháp.	Lushu	
24	Yêu thú	Yêu thú D Xuất hiện tại phụ cận.	Null	
25	Bảo vật	Chân trời bay tới một đạo quang hoa rơi vào phụ cận, không biết là cái gì.	FightFabao	
26	Bảo vật	Cách đó không xa bầu trời phát sinh một trận kịch liệt đấu pháp, có đồ vật gì rơi xuống phụ cận.	FightFabao	
27	Bảo vật	Phụ cận đột nhiên có một đạo bảo quang bay thẳng đấu bò, tựa hồ có bảo vật gì hiện thế.	FightFabao	
28	Nạn dân đi ngang qua	Một trốn tránh chiến loạn nạn dân đi ngang qua nơi đây, [IT] Hi vọng gia nhập các ngươi.	Human	
29	Bí văn		1	
30	Bí văn		2	
31	Bí văn		3	
32	Bí văn		4	
33	Bí văn		5	
34	Tiến công	Một đám đến từ Nam Hoang rừng cây man nhân đối ngươi phát động tập kích.	Poorest	Human
35	Tiến công	Một đám trong giang hồ bốn phía lưu thoán, lấy cướp bóc mà sống cường đạo đối ngươi phát động tập kích.	Poor	Human
36	Tiến công	Một đám đến từ Đông Hải tán tu ngấp nghé tài sản của ngươi, đối ngươi phát động tập kích.	Normal	Human
37	Cường lực tiến công	Một đám Tây Vực tà phái người tu hành đối ngươi phát động tập kích.	Rich	Human
38	Cường lực tiến công	Một chút bốn phía du đãng tà phái đệ tử tiến đánh môn phái của ngươi.	Richest	Human
39	Cường lực tiến công	Một đám cường đại người tu hành đến đây công kích môn phái của ngươi.	Normal	Human
40	Cường lực tiến công	Một đám hung danh chiêu lấy tà phái người tu hành đến tập kích môn phái của ngươi.	Normal	Human
41	Thời đại mở ra	Gần nhất Nam Hoang phát sinh nứt tai ương, đại lượng Nam Hoang man nhân cùng cường đạo lưu thoán ra.	33|34	
42	Tiên hữu tới chơi	Một tiên hữu tới bái phỏng môn phái của ngươi, hắn đại khái là nghĩ ở vài ngày.	Tiên hữu tới chơi	Human
43	Lạc đường người đi đường	Một người qua đường tại phụ cận lạc đường, [IT] Hi vọng đạt được trợ giúp của chúng ta.	Lạc đường người đi đường	
44	Hiếu kì người đi đường	Một đầy hiếu kỳ người qua đường ngẫu nhiên đến nơi này, [IT] Đặc biệt muốn biết chúng ta đến cùng đang làm gì.	Hiếu kì người đi đường	
45	Thụ thương người đi đường	Một người qua đường thụ thương, [IT] Hi vọng lâm thời lưu lại nghỉ ngơi cũng đạt được trợ giúp của chúng ta.	Thụ thương người đi đường	RandomDamage
46	Tiểu Tuyết	Một trận tiểu Tuyết tiến đến.	LightSnow	
47	Tuyết lớn	Một trận tuyết lớn tiến đến.	HeavySnow	
48	Người quan sát	Một người tu hành ngay tại quan sát các ngươi, tựa hồ cũng không có ác ý.	观察者	Human
49	Dã thú đột kích	Một đám đói sói xuất hiện tại phụ cận, bọn chúng tràn đầy địch ý.	Wolf	
50	Dã thú đột kích	Một đám phát cuồng con thỏ xuất hiện tại phụ cận, bọn chúng tràn đầy địch ý.	Rabbit	
51	Dã thú đột kích	Một đám tràn ngập tính công kích rắn xuất hiện tại phụ cận, bọn chúng tràn đầy địch ý.	Snake	
52	Dã thú đột kích	Một đám cuồng bạo lợn rừng xuất hiện tại phụ cận, bọn chúng tràn đầy địch ý.	Boar	
53	Bí văn		6	
54	Bí văn		7	
55	Bí văn		8	
56	Bí văn		9	
57	Bí văn		10	
58	Bí văn		11	
59	Bí văn		11	
61	Bí văn		14	
62	Bí văn		15	
63	Bí văn		16	
64	Bí văn		17	
65	Bí văn		18	
66	Bí văn		19	
67	Bí văn		20	
68	Bí văn		21	
69	Bí văn		22	
70	Bí văn		29	
71	Bí văn		30	
72	Bí văn		31	
73	Bí văn		32	
74	Bí văn		33	
75	Bí văn		34	
80	Dòng nước ấm	Trong ngày mùa đông, một dòng nước ấm trải qua nơi đây, mùa đông này sẽ ôn hòa rất nhiều.	HeatWaveInWinter	
81	Gió mát	Trong ngày mùa hè, một cỗ hàn lưu trải qua nơi đây, cái này mùa hè sẽ mát mẻ rất nhiều.	ColdWaveInSummer	
82	Bội thu khí tức	Bội thu khí tức tràn ngập ra.	HarvestAir	
83	Linh khí bộc phát	Không biết nguyên nhân gì, linh khí trong thiên địa đột nhiên bạo phát. Bộ phận thực vật thụ này xâm nhiễm, hóa thành linh mộc.	LingUpWave	
84	Bí văn		49	
85	Mùa xuân khí tức	Mùa xuân khí tức tràn ngập ra.	SpringAir	
86	Yêu thú xâm lấn	Một chút thỏ yêu xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYRabbit	TongYong_DropList
87	Yêu thú xâm lấn	Một chút lang yêu xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYWolf	TongYong_DropList
88	Yêu thú xâm lấn	Một chút xà yêu xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYSnake	TongYong_DropList
89	Yêu thú xâm lấn	Một chút Trư yêu xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYBoar	TongYong_DropList
90	Yêu thú xâm lấn	Một chút gấu yêu xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYBear	TongYong_DropList
91	Yêu thú xâm lấn	Một chút cự con ếch xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYFrog	TongYong_DropList
92	Yêu thú xâm lấn	Một chút cự quy xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYTurtle	TongYong_DropList
93	Yêu thú xâm lấn	Một chút yêu thú xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.		TongYong_DropList
94	Yêu Long tung tích		53	
95	Hung phượng tung tích		54	
96	Chúc Long tung tích		55	
97	Thượng cổ người tu hành		56	
98	Bí văn		59	
99	Bí văn		60	
100	Bí văn		61	
101	Bí văn		62	
102	Tiên hữu tới chơi	Một tiên hữu được mời tới bái phỏng môn phái của ngươi, hắn sẽ ở vài ngày.	Tiên hữu tới chơi	
103	Phát hiện tung tích			
104	Bí văn		64	
105	Tinh quái đi ngang qua	Một cái thông linh [NAME] Xuất hiện tại phụ cận, nó tràn ngập hiếu kì.		
106	Tinh quái đi ngang qua	Một cái thông linh [NAME] Xuất hiện tại phụ cận, nó tràn ngập hiếu kì.	Building	
107	Yêu thú xâm lấn	Một chút Kê Yêu xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYChicken	TongYong_DropList
108	Yêu thú xâm lấn	Một chút miêu yêu xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYCat	TongYong_DropList
109	Yêu thú xâm lấn	Một chút ngưu yêu xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYCattle	TongYong_DropList
110	Yêu thú xâm lấn	Một chút hổ yêu xuất hiện tại phụ cận, bọn chúng tràn ngập địch ý.	JYTiger	TongYong_DropList
111	Dã thú đột kích	Một đám phát cuồng gà xuất hiện tại phụ cận, bọn chúng tràn đầy địch ý.	Chicken	
112	Dã thú đột kích	Một con tràn ngập tính công kích gấu xuất hiện tại phụ cận, nó tràn đầy địch ý.	Bear	
113	Dã thú đột kích	Một đám cuồng bạo rùa đen xuất hiện tại phụ cận, bọn chúng tràn đầy địch ý.	Turtle	
114	Dã thú đột kích	Một đám phát cuồng ếch xanh xuất hiện tại phụ cận, bọn chúng tràn đầy địch ý.	Frog	
115	Dã thú đột kích	Một con tràn ngập tính công kích mèo xuất hiện tại phụ cận, nó tràn đầy địch ý.	Cat	
116	Dã thú đột kích	Một đám điên cuồng trâu xuất hiện tại phụ cận, bọn chúng tràn đầy địch ý.	Cattle	
117	Dã thú đột kích	Một con tràn ngập tính công kích lão hổ xuất hiện tại phụ cận, nó tràn đầy địch ý.	Tiger	
118	Tiến công	Một đám yêu tộc người tu hành ngấp nghé ngươi môn phái tài sản, bọn hắn đầy cõi lòng địch ý xuất hiện tại phụ cận.	Poorest	RANDOMYAOGUAI
119	Tiến công	Một đám yêu tộc người tu hành ý đồ phá vỡ môn phái của ngươi, bọn hắn mang theo khát máu ánh mắt tại phụ cận bồi hồi.	Poor	RANDOMYAOGUAI
120	Tiến công	Một đám yêu tộc người tu hành chẳng biết tại sao đối ngươi môn phái đầy cõi lòng cừu hận, bọn hắn sắp phát động tập kích.	Normal	RANDOMYAOGUAI
121	Cường lực tiến công	Một đám cường đại yêu tộc người tu hành ý đồ cướp đoạt ngươi môn phái nội tình đến phong phú tự thân.	Rich	RANDOMYAOGUAI
122	Cường lực tiến công	Một đám cường đại yêu tộc người tu hành ý đồ huyết tẩy môn phái của ngươi.	Richest	RANDOMYAOGUAI
123	Cường lực tiến công	Một đám điên cuồng yêu tộc người tu hành ý đồ công kích môn phái của ngươi.	Normal	RANDOMYAOGUAI
124	Thỉnh cầu che chở	Một vừa mới biến hóa yêu tộc thỉnh cầu ngươi che chở, hi vọng có thể dựa vào sự giúp đỡ của ngươi vượt qua Hóa Hình Thiên Kiếp.	RANDOMYAOGUAI	
125	Động vật gia nhập	Một con mèo đi vào môn phái của ngươi, nó tựa hồ rất thích nơi này.	Cat	
126	Động vật gia nhập	Một con gà đi vào môn phái của ngươi, nó tựa hồ rất thích nơi này.	Chicken	
127	Động vật gia nhập	Một con trâu đi vào môn phái của ngươi, nó tựa hồ rất thích nơi này.	Cattle	
128	Động vật gia nhập	Một con rùa đen đi vào môn phái của ngươi, nó tựa hồ rất thích nơi này.	Turtle	
129	Động vật gia nhập	Một con con thỏ đi vào môn phái của ngươi, nó tựa hồ rất thích nơi này.	Rabbit	
130	Động vật gia nhập	Một con ếch xanh đi vào môn phái của ngươi, nó tựa hồ rất thích nơi này.	Frog	
1000	Rồng đi ngang qua			Item_DragonShit|Item_DragonScale
1001	Linh khí bộc phát			
1002	Phượng đi ngang qua			Item_BossFeng_HuoYu
10000	Thành lập môn phái	Chúng ta ẩn cư ở này, trùng nhập tiên môn, hơn nữa còn một lần nữa thành lập mình tiểu môn phái. Này lại là một cái mới tinh truyền kỳ bắt đầu a?\n\n[color=#D06508] Giải tỏa trang trí loại kiến trúc \n Giải tỏa càng nhiều tu luyện kiến trúc [/color]	FoundOrganization1	
10001	Thanh danh đại chấn	Chúng ta môn phái cũng dần dần hiển lộ ra thanh danh, cái này thật rất không dễ dàng. Để chúng ta đem hắn tiếp tục kinh doanh lớn mạnh.\n\n[color=#D06508] Môn phái nhân khẩu hạn mức cao nhất tăng lên![/color]	FoundOrganization2	
10002	Uy danh hiển hách	Chúng ta môn phái tại tu hành giới cũng đã có uy danh hiển hách, thành người người hướng tới thánh địa tu hành.\n\n[color=#D06508] Môn phái nhân khẩu hạn mức cao nhất tăng lên!\n Có thể thông qua môn phái kết cấu công năng mở phân đường![/color]	FoundOrganization3	
10003	Chưởng môn tiền nhiệm	[NAME] Trở thành chưởng môn của chúng ta, [IT] Nhất định có thể dẫn mọi người đi hướng tiên đồ.		
10004	Thiếu Thiếu chưởng môn	Chúng ta cần phải có người tới đảm nhiệm chưởng môn.\n[color=#D06508] Có thể tại môn phái bảng [ Môn phái kết cấu bên trong ] Thiết trí chưởng môn [/color]		
