Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
EatShit											Ta tuyệt đối không ăn cứt, trừ phi đút ta	Ta cực ít đớp cứt	Ta thỉnh thoảng sẽ đớp cứt	Ta có đôi khi sẽ đớp cứt	Ta thường xuyên đớp cứt
EatEssence											Ta tuyệt đối không ăn thiên địa linh căn, trừ phi đút ta	Ta cực ít ăn thiên địa linh căn	Ta thỉnh thoảng sẽ ăn thiên địa linh căn	Ta có đôi khi sẽ ăn thiên địa linh căn	Ta thường xuyên ăn thiên địa linh căn
EatDrug											Ta tuyệt đối không đem đan dược làm đồ ăn vặt ăn, trừ phi đút ta	Ta cực ít đem đan dược làm đồ ăn vặt	Ta thỉnh thoảng sẽ đem đan dược làm đồ ăn vặt ăn	Ta có đôi khi sẽ đem đan dược làm đồ ăn vặt	Ta thường xuyên đem đan dược làm đồ ăn vặt
EatWheat											Ta không phải vạn bất đắc dĩ tuyệt không ăn lúa mì	Ta cực ít ăn lúa mì	Ta thỉnh thoảng sẽ ăn lúa mì	Ta có đôi khi sẽ ăn lúa mì	Ta thường xuyên ăn lúa mì
EatDryMeat											Ta không phải vạn bất đắc dĩ tuyệt không ăn thịt làm	Ta cực ít ăn thịt làm	Ta thỉnh thoảng sẽ ăn thịt làm	Ta có đôi khi sẽ ăn thịt làm	Ta thường xuyên ăn thịt làm
EatPear											Ta không phải vạn bất đắc dĩ tuyệt không ăn quả lê	Ta cực ít ăn quả lê	Ta thỉnh thoảng sẽ ăn quả lê	Ta có đôi khi sẽ ăn quả lê	Ta thường xuyên ăn quả lê
EatMeat											Ta không phải vạn bất đắc dĩ tuyệt không ăn thịt sống	Ta cực ít ăn thịt sống	Ta thỉnh thoảng sẽ ăn thịt sống	Ta có đôi khi sẽ ăn thịt sống	Ta thường xuyên ăn thịt sống
EatCook											Ta không phải vạn bất đắc dĩ ăn đồ chín	Ta cực ít ăn đồ chín	Ta thỉnh thoảng sẽ ăn đồ chín	Ta có đôi khi sẽ ăn đồ chín	Ta thường xuyên ăn đồ chín
EatWeight	-1	-1	0	1	1						Ta phi thường đói mới có thể ăn cái gì	Ta rất đói mới đi ăn cái gì	Ta đói liền sẽ đi ăn cái gì	Ta có chút đói liền sẽ ăn cái gì	Ta hơi có chút đói liền ăn cái gì
BiteBuilding											Ta tuyệt đối sẽ không công kích kiến trúc	Ta cực ít công kích kiến trúc	Ta thỉnh thoảng sẽ công kích kiến trúc	Ta có đôi khi sẽ công kích kiến trúc	Ta thường xuyên hung hăng công kích kiến trúc
BiteClothes											Ta tuyệt đối sẽ không công kích quần áo	Ta cực ít công kích quần áo	Ta thỉnh thoảng sẽ công kích quần áo	Ta có đôi khi sẽ công kích quần áo	Ta thường xuyên hung hăng công kích quần áo
BiteOuter											Ta tuyệt đối sẽ không công kích ngoại môn đệ tử	Ta cực ít công kích ngoại môn đệ tử	Ta thỉnh thoảng sẽ công kích ngoại môn đệ tử	Ta có đôi khi sẽ công kích ngoại môn đệ tử	Ta thường xuyên hung hăng công kích ngoại môn đệ tử
BiteInner											Ta tuyệt đối sẽ không công kích nội môn đệ tử	Ta cực ít công kích nội môn đệ tử	Ta thỉnh thoảng sẽ công kích nội môn đệ tử	Ta có đôi khi sẽ công kích nội môn đệ tử	Ta thường xuyên hung hăng trong công kích môn
BiteVisitor											Ta tuyệt đối sẽ không công kích khách tới thăm	Ta cực ít công kích khách tới thăm	Ta thỉnh thoảng sẽ công kích khách tới thăm	Ta có đôi khi sẽ công kích khách tới thăm	Ta thường xuyên hung hăng công kích công kích khách tới thăm
BiteIncoming											Ta tuyệt đối sẽ không công kích tới khách	Ta cực ít công kích tới khách	Ta thỉnh thoảng sẽ công kích tới khách	Ta có đôi khi sẽ công kích khách tới	Ta thường xuyên hung hăng công kích tới khách
AtkEnemy											Ta tuyệt đối sẽ không công kích địch nhân, trừ phi bị công kích	Ta cực ít công kích địch nhân	Ta thỉnh thoảng sẽ công kích địch nhân	Ta có đôi khi sẽ công kích địch nhân	Chỉ cần có địch nhân tập kích, ta liền lập tức công kích
AtkDizzyOuter											Ta tuyệt đối sẽ không công kích hôn mê ngoại môn	Ta cực ít đi công kích hôn mê ngoại môn	Ta thỉnh thoảng sẽ đi công kích hôn mê ngoại môn	Ta có khi sẽ đi công kích hôn mê ngoại môn	Ta thường xuyên công kích hôn mê ngoại môn
AtkDizzyInner											Ta tuyệt đối sẽ không công kích hôn mê nội môn	Ta cực ít đi công kích hôn mê nội môn	Ta thỉnh thoảng sẽ đi công kích hôn mê nội môn	Ta có khi sẽ đi công kích hôn mê nội môn	Ta thường xuyên công kích hôn mê ngoại môn
AtkDizzyComing											Ta tuyệt đối sẽ không công kích hôn mê khách tới	Ta cực ít đi công kích hôn mê khách tới	Ta thỉnh thoảng sẽ đi công kích hôn mê khách tới	Ta có khi sẽ đi công kích hôn mê khách tới	Ta thường xuyên công kích hôn mê khách tới
AtkDizzyVisitor											Ta tuyệt đối sẽ không công kích hôn mê khách tới thăm	Ta cực ít đi công kích hôn mê khách tới thăm	Ta thỉnh thoảng sẽ đi công kích hôn mê khách tới thăm	Ta có khi sẽ đi công kích hôn mê khách tới thăm	Ta thường xuyên công kích hôn mê khách tới thăm
ShitAtShitPlace											Ta tuyệt đối sẽ không đi bài tiết điểm bài tiết	Ta cực ít đi bài tiết điểm bài tiết	Ta thỉnh thoảng sẽ đi bài tiết điểm bài tiết	Ta có đôi khi sẽ đi bài tiết điểm bài tiết	Ta thường xuyên tìm bài tiết điểm bài tiết
ShitAtPlants											Ta tuyệt đối sẽ không tại thực vật bên trên bài tiết	Ta cực ít đi tại thực vật bên trên bài tiết	Ta thỉnh thoảng sẽ đi tại thực vật bên trên bài tiết	Ta có đôi khi sẽ tại thực vật bên trên bài tiết	Ta thường xuyên tìm thực vật bài tiết
ShitAtDogHouse											Ta tuyệt đối sẽ không đi tổ bên trong bài tiết	Ta cực ít đi tổ bên trong bài tiết	Ta thỉnh thoảng sẽ đi tổ bên trong bài tiết	Ta có đôi khi sẽ đi tổ bên trong bài tiết	Ta thường xuyên tìm tổ bên trong bài tiết
ShitAtStorage											Ta tuyệt đối sẽ không đi nhà kho bài tiết	Ta cực ít đi nhà kho bài tiết	Ta thỉnh thoảng sẽ đi nhà kho bài tiết	Ta có đôi khi sẽ đi nhà kho bài tiết	Ta thường xuyên tìm nhà kho bài tiết
ShitOnBed											Ta tuyệt đối sẽ không đi trên giường bài tiết	Ta cực ít đi trên giường bài tiết	Ta thỉnh thoảng sẽ đi trên giường bài tiết	Ta có đôi khi sẽ đi trên giường bài tiết	Ta thường xuyên tìm giường bài tiết
ShitInFarm											Ta tuyệt đối sẽ không đi đồng ruộng bài tiết	Ta cực ít đi đồng ruộng bài tiết	Ta thỉnh thoảng sẽ đi đồng ruộng bài tiết	Ta có đôi khi sẽ đi đồng ruộng bài tiết	Ta thường xuyên tìm đồng ruộng bài tiết
CarryOuterToBed											Ta tuyệt đối sẽ không đem hôn mê ngoại môn đệ tử đem đến trên giường	Ta cực ít đem hôn mê ngoại môn đệ tử đem đến trên giường	Ta thỉnh thoảng sẽ đem hôn mê ngoại môn đệ tử đem đến trên giường	Ta có đôi khi sẽ đem hôn mê ngoại môn đệ tử đem đến trên giường	Ta thường xuyên đem hôn mê ngoại môn đệ tử đem đến trên giường
CarryVisitorToDest											Ta tuyệt đối sẽ không đem hôn mê khách tới thăm đem đến vận chuyển điểm	Ta cực ít đem hôn mê khách tới thăm đem đến vận chuyển điểm	Ta thỉnh thoảng sẽ đem hôn mê khách tới thăm đem đến vận chuyển điểm	Ta có đôi khi sẽ đem hôn mê khách tới thăm đem đến vận chuyển điểm	Ta thường xuyên đem hôn mê khách tới thăm đem đến vận chuyển điểm
