ID	Name	Des	InitialKey1	InitialKey2	IgnoreCombinationkeys	Lock	Type
功能ID	功能名称	功能描述	快捷键组1	快捷键组2	忽略组合键冲突	锁定，玩家不可修改	类型
Up	Bên trên		W	UpArrow	LeftAlt		Ngoạn Gia
down	Hạ		S	DownArrow	LeftAlt		Ngoạn Gia
left	Trái		A	LeftArrow	LeftAlt		Ngoạn Gia
right	Phải		D	RightArrow	LeftAlt		Ngoạn Gia
SpeedP	Giảm bớt trò chơi tốc độ		Q				Ngoạn Gia
SpeedN	Gia tăng trò chơi tốc độ		E				Ngoạn Gia
GamePauseOrPlay	Trò chơi tạm dừng / Vận hành		Space				Ngoạn Gia
Attack	Công kích		BackQuote				Giác Sắc
RunAway	Chạy trốn		LeftControl+BackQuote				Giác Sắc
Moveto	Di động đến		V				Giác Sắc
StopJob	Đánh gãy hành vi	 Đánh gãy khi tiến lên vì, bộ phận hành vi không cách nào đánh gãy.	LeftAlt+S				Giác Sắc
Work	Công việc giao diện		T				Giới Diện
School	Môn phái giao diện		G				Giới Diện
World	Thiên hạ giao diện		M				Giới Diện
Help	Trợ giúp giao diện		F10				Giới Diện
AttributePanel	Giao diện thuộc tính		C				Giác Sắc
MoodPanel	Tâm tình xã giao bảng		F				Giác Sắc
HealthPanel	Khỏe mạnh bảng		H				Giác Sắc
PracticePanel	Tu luyện bảng		X				Giác Sắc
EquipmentPanel	Trang bị bảng		Z				Giác Sắc
Interaction	Nhân vật hỗ động 1~9	F1~9				1	Giác Sắc
RotBuilding	Xoay tròn kiến trúc		R				Tràng Cảnh
RepeatBuild	Lặp lại lần trước kiến trúc		LeftControl+V				Tràng Cảnh
Harvest	Thu hoạch thực vật		LeftControl+G				Tràng Cảnh
Log	Chặt cây cây cối		LeftControl+X				Tràng Cảnh
Mine	Khai thác tài nguyên khoáng sản		LeftControl+T				Tràng Cảnh
Cutoff	Thanh trừ khu vực		LeftControl+E				Tràng Cảnh
Dismantle	Dỡ bỏ kiến trúc		LeftControl+C				Tràng Cảnh
RemoveFloor	Gỡ ra sàn nhà		LeftControl+B				Tràng Cảnh
Explore	Lục soát khu vực		LeftControl+F				Tràng Cảnh
Melting	Dung luyện vật phẩm		LeftControl+Y				Tràng Cảnh
Hunting	Đi săn động vật		LeftControl+H				Tràng Cảnh
CancelCMD	Huỷ bỏ mệnh lệnh		LeftControl+D				Tràng Cảnh
BuildPanel	Kiến trúc bảng		B				Giới Diện
SwichNpc	Hoán đổi đối tượng		Tab				Ngoạn Gia
33	Đối tượng biên đội	LCtrl+1~9				1	Ngoạn Gia
34	Lựa chọn / Nhảy đến biên đội	1~9				1	Ngoạn Gia
36	Nhiều tuyển	LShift				1	Ngoạn Gia
Story1	Lịch luyện giao diện tuyển hạng 1		Alpha1				Lịch Luyện
Story2	Lịch luyện giao diện tuyển hạng 2		Alpha2				Lịch Luyện
Story3	Lịch luyện giao diện tuyển hạng 3		Alpha3				Lịch Luyện
Story4	Lịch luyện giao diện tuyển hạng 4		Alpha4				Lịch Luyện
Story5	Lịch luyện giao diện tuyển hạng 5		Alpha5				Lịch Luyện
Story6	Lịch luyện giao diện tuyển hạng 6		Alpha6				Lịch Luyện
Story7	Lịch luyện giao diện tuyển hạng 7		Alpha7				Lịch Luyện
Story8	Lịch luyện giao diện tuyển hạng 8		Alpha8				Lịch Luyện
Story9	Lịch luyện giao diện tuyển hạng 9		Alpha9				Lịch Luyện
QuickSave	Nhanh chóng bảo tồn		F9				Hệ Thống
ShowOrHide	Ẩn tàng / Biểu hiện UI		F11				Hệ Thống
37	Hệ thống menu	Esc				1	Hệ Thống
Zhen	Trận pháp giao diện		N				Giới Diện
MinMap	Nhỏ địa đồ		Comma				Giới Diện
ShowElement	Ngũ Hành đồ		L				Giới Diện
Power	Thế lực		K				Giới Diện
Miwen	Bí văn		U				Giới Diện
IllHand	Đồ giám		O				Giới Diện
