Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数	文本参数
LingHun_AskTNpc	0	Đem ngươi biết liên quan tới [TSCHOOL][TNAME] Sự tình hết thảy nói cho ta!	Ta thật không biết [TIT]	Ta nói ta nói......	Không có vật gì khác, thật không có		
LingHun_AskTNpcData	0	Đem ngươi biết liên quan tới [TSCHOOL][TNAME][TXT] Tương quan sự tình hết thảy nói cho ta!	Ta không biết.. Ta không biết..	Ta nói ta nói......	Không có vật gì khác, thật không có		
LingHun_AskTNpcSecret	0	Đem ngươi biết [TSCHOOL][TNAME] Bí ẩn hết thảy nói cho ta!	Ta không biết.. Ta không biết..	Ta nói ta nói......	Ta chết cũng sẽ không nói		
							
							
LingHun_Die	0	[HENAME] Đã không được	......				
LingHun_AskNpc	0	Ngươi thành thành thật thật bàn giao liền, đầu thai làm người không dễ, nếu như ngươi thành thật bàn giao, ta còn có thể cứu ngươi một mạng, nếu không không phải đáng tiếc tính mạng của ngươi?	......	Tốt a...... Ta nói, ta đều bàn giao......	Vậy thì thế nào? Có thủ đoạn gì sử hết ra đi......		
LingHun_DontKnow	0	Đem cái này nói cho ta, chống cự có ích lợi gì chứ?	...... Ta thật không biết......				
							
LingHun_Feature	0	Ta sớm biết ngươi là [TXT] Người, ta có là biện pháp đối phó ngươi, ngươi vẫn là thành thật một chút, tránh khỏi thụ nhiều những này tra tấn.	......	Tốt... Tốt... Ta đều nói, đừng lại tiếp tục......	Vậy thì thế nào? Có thủ đoạn gì sử hết ra đi......		
LingHun_Feature_Open	0	Ha ha ha, nghe nói ngươi là [TXT] Gia hỏa. Ta cũng phải xem thật kỹ một chút.	......([NAME] Linh hồn co quắp một trận, tựa hồ hết sức thống khổ )......				
							
LingHun_LikeItem	0	Ngươi thích [TXT] Đúng không? Tại sao muốn mạnh miệng đâu, chỉ cần thành thật khai báo, ngươi về sau còn có thể có được vô tận [TXT], cần gì chứ?( Dùng huyễn cảnh mô phỏng ra đại lượng [TXT] Ở xung quanh.)	......	Tốt... Tốt... Chỉ cần cho ta [TXT], ta đều nói......	Vậy thì thế nào? Có thủ đoạn gì sử hết ra đi......		
LingHun_LikeItem_Open	0	Ngươi thích [TXT] Đúng không? Đáng tiếc lập tức chính là của ta! Ha ha ha!( Dùng huyễn cảnh mô phỏng ra đại lượng [TXT], cũng đem cướp đi.)	......([NAME] Linh hồn co quắp một trận, tựa hồ hết sức thống khổ )......				
							
LingHun_HateItem	0	Ngươi không thích [TXT] Phải không? Chỉ cần ngươi thành thật bàn giao, ta cam đoan không cho ngươi lại chịu đựng những này......( Dùng huyễn cảnh mô phỏng ra đại lượng [TXT] Vờn quanh [HENAME].)	......	Tốt... Tốt... Ta đều bàn giao, đừng lại tiếp tục......	Vậy thì thế nào? Có thủ đoạn gì sử hết ra đi......		
LingHun_HateItem_Open	0	Ngươi không thích [TXT] Đúng không? A?! Đổi rất có tính tình?( Dùng huyễn cảnh mô phỏng ra [TXT], cũng đem xử tại [NAME] Trên đầu.)	......([NAME] Linh hồn co quắp một trận, tựa hồ hết sức thống khổ )......				
							
LingHun_Hobby	0	Nghe nói đây là ngươi [TXT]? Chỉ cần ngươi bàn giao, ta sẽ giúp ngươi giải thoát.	......	Chớ nói nữa! Đừng nói đi xuống! Ta nói, ta đều nói!	Vậy thì thế nào? Có thủ đoạn gì sử hết ra đi......		
LingHun_Hobby_Open	0	A? Nghe nói đây là ngươi [TXT]? Nhìn không ra ngươi vẫn là cái nhân vật, bất quá yên tâm, ta sẽ dùng cái này để ngươi thân bại danh liệt, hối tiếc không kịp! Ha ha ha!	......([NAME] Linh hồn co quắp một trận, tựa hồ hết sức thống khổ )......				
							
LingHun_Esoterica	0	Ngươi nghe nói ngươi rất am hiểu [TXT]? Ngoan ngoãn bàn giao đi, nếu không ngươi cái này một thân sở học lại vì cái gì?	......	Tốt, tốt...... Ta bàn giao, ta đều bàn giao......	Vậy thì thế nào? Có thủ đoạn gì sử hết ra đi......		
LingHun_Esoterica_Open	0	Loại người như ngươi cũng xứng có [TXT]? Ngoan ngoãn giao ra, tránh khỏi minh châu bị long đong, ta cũng cho ngươi thống khoái!	......	Tốt, tốt, ta cho ngươi biết...... Đừng lại tiếp tục	......... Ân.........		
							
LingHun_Secret	0	[TXT] Giấu ở trong lòng rất lâu đi, ngươi còn biết thứ gì, đều bàn giao ra đi!	......	Tốt, tốt, ta đều nói! Tha ta đem......	Ta không biết càng nhiều......		
LingHun_Secret_Open	0	Đem [TXT] Có quan hệ sự tình đều nói cho ta đi, dạng này ngươi liền giải thoát.	......	Tốt, tốt, ta đều nói! Tha ta đem......	Ta không biết càng nhiều......		
							
LingHun_KnowClue	0	Sắp chết đến nơi, trông coi những bí mật này còn có cái gì dùng? Đem liên quan tới [TXT] Manh mối đều bàn giao ra đi, cho ngươi thống khoái..	......	Ta biết cái này, ta còn biết đừng, ta đều bàn giao!	Ta không biết, ta không biết, đừng ép ta!		
LingHun_DontKnowClue	0	Sắp chết đến nơi, trông coi những bí mật này còn có cái gì dùng? Đem liên quan tới [TXT] Manh mối đều bàn giao ra đi, cho ngươi thống khoái..	......	Ta không biết cái này, nhưng là ta cảm thấy có một số việc cùng cái này có quan hệ...... Ta đều nói cho ngươi, cho ta thống khoái đi......	Ta không biết, ta không biết, đừng ép ta!		
LingHun_KnowOtherClue	0	Sắp chết đến nơi, trông coi những bí mật này còn có cái gì dùng? Đem liên quan tới [TXT] Manh mối đều bàn giao ra đi, cho ngươi thống khoái..	......	Ta thật không biết cái này, nhưng là ta biết mặt khác những bí mật này, ta đều nói, đừng tiếp tục nữa......	Ta không biết, ta không biết, đừng ép ta!		
							
LingHun_KnowSecret	0	Sắp chết đến nơi, trông coi những bí mật này còn có cái gì dùng? Đem liên quan tới [TXT] Manh mối đều bàn giao ra đi, cho ngươi thống khoái..	......	Ta biết, ta đều bàn giao! Bỏ qua cho ta đi......	Ta không biết, ta không biết, đừng ép ta!		
LingHun_KnowOtherSecret_Open	0	Sắp chết đến nơi, trông coi những bí mật này còn có cái gì dùng? Đem liên quan tới [TXT] Manh mối đều bàn giao ra đi, cho ngươi thống khoái..	......	Ta không biết, nhưng là ta biết cái khác bí mật a, cầu ngươi đừng tiếp tục......	Ta không biết, ta không biết, đừng ép ta!		
LingHun_KnowOtherSecret_Close	0	Sắp chết đến nơi, trông coi những bí mật này còn có cái gì dùng? Đem liên quan tới [TXT] Manh mối đều bàn giao ra đi, cho ngươi thống khoái..	......	Ta không biết cái này, ta biết cùng những này không quan hệ a, tại sao muốn đối với ta như vậy!	Ta không biết, ta không biết, đừng ép ta!		
