ID	Content	WholeContent	TipDesc	Desc
	Tin tức miêu tả	Cùng ID Sát nhập sau miêu tả	tips Bên trên biểu hiện nói rõ chi tiết hoặc tiến một bước nhắc nhở	
1	Đồ ăn số lượng dự trữ không đủ	Đồ ăn số lượng dự trữ không đủ		
2	Dược vật số lượng dự trữ không đủ	Dược vật số lượng dự trữ không đủ		
3	Tinh nguyên số lượng dự trữ không đủ	Tinh nguyên số lượng dự trữ không đủ		
4	Mùa hạ sắp xảy ra	Mùa hạ sắp xảy ra	Mời làm tốt nghỉ mát chuẩn bị	
5	Mùa đông sắp xảy ra	Mùa đông sắp xảy ra	Mời làm tốt chống lạnh chuẩn bị	
6	Địch nhân xuất hiện	Địch nhân xuất hiện		
7	{0}{1} Đang bị công kích	Môn phái đang bị công kích		
8	Cháy rồi	Cháy rồi		
9	Người qua đường cần trợ giúp	Người qua đường cần trợ giúp		
10	Địch nhân {0} Ngay tại ý đồ cướp đi vật phẩm {1}	Địch nhân ngay tại ý đồ cướp đi vật phẩm		
11	Địch nhân {0} Cướp đi vật phẩm {1}	Địch nhân cướp đi vật phẩm		
12	Linh thú {0} Xuất hiện	Linh thú xuất hiện		
13	Bảo vật rơi xuống	Bảo vật rơi xuống		
14	Tiên nhân {0}_ Giáng lâm / Rời đi	Có tiên nhân giáng lâm		
15	{0} Thích {1}	Có tình cảm lưu luyến phát sinh		
16	{0} Không còn thích {1}	Có tình cảm lưu luyến biến mất		
17	{0} Thổ lộ {1}_ Thành công cũng trở thành người yêu / Thất bại	Có người thổ lộ		
18	{0} Thuyết phục {1}_ Thành công / Thất bại	Có người khuyên nói		
19	Vứt bỏ	Vứt bỏ		
20	{0} Cảm xúc hỏng bét	Có tình tự rất tồi tệ		
21	{0} Cảm xúc bởi vì {1} Bắt đầu chuyển biến xấu	Có tình tự chuyển biến xấu		
22	{0} Tâm cảnh bất ổn	Có lòng người cảnh bất ổn		
23	{0}: _ Ngã xuống đất / Hôn mê / Sắp chết	Có người vô pháp hành động		
24	Vứt bỏ	Vứt bỏ		
25	{0}: Tử vong	Có người tử vong		
26	{0}: Biếng nhác	Có người biếng nhác		
27	{0}: Biếng nhác khôi phục	Có người từ biếng nhác bên trong khôi phục		
28	{0} Cần đi săn vũ khí	Có người cần đi săn vũ khí		
29	{0} Cần chặt cây công cụ	Có người cần chặt cây công cụ		
30	{0} Cần khai thác công cụ	Có người cần khai thác công cụ		
31	{0} Cần nông cụ	Có người cần nông cụ		
32	{0} Kỹ năng {1} Thăng cấp	Kỹ năng thăng cấp		
33	{0}: Nhập ma	Có người nhập ma		
34	{0} Trúc cơ thành công	Có người trúc cơ thành công		
35	{0} Gặp được bình cảnh	Có người gặp được bình cảnh		
36	{0} Bình cảnh thời gian gần	Có người bình cảnh thời gian gần		
37	{0} Bình cảnh thời gian đã đến	Có người bình cảnh thời gian đã đến		
38	{0} Luyện chế pháp bảo {1}_ Thành công / Thất bại	Có người luyện bảo		
39	Luyện đan _ Thành công / Thất bại	Có người luyện đan		
40	{0} Bái {1} Vi sư	Có người bái sư		
41	{0} Đối với môn phái có chút bất mãn	Có người đối với môn phái bất mãn		
42	{0} Lịch luyện trở về	Có người lịch luyện trở về		
43	{0} Đột phá bình cảnh _ Thành công / Thất bại	Có người đột phá bình cảnh		
44	Chu thiên thần toán: {0}	Chu thiên thần toán		
